Month,Day,Period,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25
1,2,2,2485.3,2464.2,2493.6,2355.6,2611,2420.8,2565.8,2769.4,2399.1,2545.8,2794.1,2559.3,2669.7,2865.7,2554,2814.1,2443.1,2800,2636.2,2424.9,2404.9,2771.2,2514.1,2551.1,2715.4
1,2,3,2464.9,2405,2450.8,2323.4,2574.1,2379.8,2576.4,2727.9,2368.6,2520.7,2782.5,2536.5,2647.4,2812.4,2528.9,2783.6,2421.5,2781.9,2618.1,2386.8,2376.8,2746.7,2508.3,2551.8,2693.8
1,2,4,2468.5,2402.7,2422.7,2332.9,2577.1,2389.8,2592.3,2708,2356.4,2535.4,2782.5,2528.9,2646.3,2784.3,2520.1,2784.9,2425,2773.7,2561.8,2368.1,2379.8,2762.6,2508.4,2538.3,2713.9
1,2,5,2531.7,2426.6,2433.1,2384.9,2631.5,2427.2,2676.7,2727.7,2383.2,2590.4,2833.4,2576.9,2674.9,2800.5,2560.5,2845.1,2473,2810.5,2602.7,2406.1,2433.7,2803.5,2558.1,2586.3,2757.7
1,2,6,2643.3,2452.5,2449,2459,2712.6,2521.2,2793,2734.3,2423.8,2677.9,2889.3,2645.7,2694.4,2791.2,2609.3,2923.3,2574.6,2883.4,2642.7,2437.3,2497.1,2909.8,2642.7,2635.7,2793
1,2,7,2750.1,2511.2,2466,2598.7,2821.7,2648.6,2954.4,2760.7,2491.8,2791.8,2996.7,2740.7,2716.1,2817,2644.5,2995.5,2639.8,2969.7,2693.2,2490.7,2615.7,3030.1,2746,2709.6,2862.2
1,2,8,2734.8,2488.2,2483.5,2583.3,2816.4,2689.6,2903.8,2728.9,2482.9,2764.7,2977.2,2706,2659,2767.6,2602.7,2962.5,2637.9,2942,2646.7,2499.4,2628.5,3011.8,2721.3,2688.4,2787
1,2,9,2665.8,2405.8,2471.5,2526.7,2736.3,2622.4,2789.7,2678.7,2470.4,2695.8,2910,2630,2588.9,2720.4,2536.7,2861.9,2557.8,2836.1,2583.1,2479.2,2571.3,2888.3,2613.6,2529.1,2692.3
1,2,10,2669.6,2432.5,2510.5,2544,2759.4,2653.2,2782.9,2657.3,2533.4,2710.1,2936.7,2640.3,2600.9,2694.3,2554,2839.3,2560.4,2798.2,2547.5,2531.7,2641.5,2833.4,2576.9,2526.4,2693.1
1,2,11,2680,2404.1,2528.6,2555.6,2769.8,2666.5,2818.6,2637.8,2580.2,2718.2,2923,2644.2,2606.7,2703.5,2576.1,2816.2,2583.8,2744,2560.9,2549.1,2623.7,2772.8,2533.9,2490.4,2701.2
1,2,12,2663.7,2390.1,2559.2,2521,2743.5,2624.3,2789.9,2609.7,2585.6,2704.2,2866.8,2631.4,2578.5,2690.7,2573.3,2781.1,2585,2691.3,2583.2,2563.9,2659.6,2730,2517.5,2452.9,2701.8
1,2,13,2663.7,2393.1,2546.3,2528.1,2714.7,2638.4,2823.9,2573.3,2587.4,2673.1,2813.4,2616.7,2543.9,2704.8,2556.3,2782.8,2569.2,2678.4,2568.6,2541,2609.7,2687.2,2524,2432.4,2652.5
1,2,14,2654.4,2409,2538.2,2514.7,2706,2609.2,2640.9,2550.5,2585.1,2653.8,2780,2490,2506.5,2697.8,2543.4,2731.3,2541.1,2650.3,2544.6,2498.2,2623.9,2663.2,2528.2,2407.3,2535.8
1,2,15,2634.3,2448.2,2550.9,2521.5,2688.3,2623.7,2626.6,2538,2588.5,2633.7,2758.7,2632.5,2484.6,2731.7,2531.5,2696.5,2550.3,2625.4,2557.9,2498.1,2594.9,2653,2543.3,2435.8,2609.6
1,2,16,2623.8,2542.8,2609.2,2562.8,2725.4,2648.5,2627.4,2579.2,2623.8,2650.8,2784.1,2690.8,2512.9,2808.7,2561,2720.7,2565.1,2657.3,2612.7,2551.1,2617.4,2735.4,2647.3,2478.3,2651.4
1,2,17,2649.9,2735.6,2859.5,2655.8,2956.9,2836.6,2687.5,2799.6,2807.8,2826.6,2956.3,2877.1,2680.4,3010.9,2703.9,2892.9,2804.3,2844.2,2767.3,2742.1,2757.9,2931.7,2791.4,2687.5,2820.7
1,2,18,2832.9,2852.8,3043,2844,3208.6,2999.6,2957.3,3041.9,2962,3065.9,3229.1,2975.5,2953.2,3218,2966.1,3166.9,2942.7,3111.7,2980.2,2973.8,2965.5,3181,2990.2,2851.7,3088.2
1,2,19,2973.5,2813.3,3012.9,2876.7,3214.8,2987,3049.8,3052.8,2972.9,3082.7,3243.5,2994.1,2965.9,3209.5,2971.8,3194.2,2942.4,3137.3,2964.7,2961.8,2957.1,3214.8,2971.8,2835,3167.8
1,2,20,2922.3,2770.2,2953.4,2823.6,3168.8,2927,3017.9,2996.8,2916.4,3031.4,3196.4,2939.3,2925.2,3161.8,2921.1,3152.4,2893.5,3107.8,2931.1,2905.8,2885.9,3170.6,2935.8,2803.7,3131.2
1,2,21,2831.8,2699.7,2855.9,2742,3077.2,2838.3,2948,2921.6,2830.6,2941,3098.9,2828.3,2870,3082.5,2843,3064.3,2717.9,3033.7,2846.5,2854.1,2802.5,3100.1,2848.8,2732,3061.3
1,2,22,2736,2625.6,2784.7,2647.9,2994.2,2716,2896.8,2834.6,2720.1,2842.2,3013,2749.5,2834,2977.2,2772.9,3007.2,2720.1,2983.7,2796.4,2718.4,2685.5,3046.5,2755.3,2669.6,2982.5
1,2,23,2727.9,2652.7,2809.5,2658.6,2982,2730.2,2912.8,2876.4,2682.7,2856.4,3019.6,2772.5,2895.2,2984.4,2781.9,3047.2,2733.2,3026.1,2818.9,2713.8,2695,3052.5,2765.4,2733.2,2972.6
1,2,24,2607.5,2575.9,2694.4,2530.1,2830,2594.6,2800.1,2755.5,2541.2,2719.7,2885.8,2656.3,2794.2,2849.4,2663.9,2917.5,2628.1,2875.8,2723.2,2588.8,2580.5,2929.8,2658,2642.8,2837.1
1,3,1,2488.7,2663.6,2537.4,2465.8,2563.8,2493.4,2543.9,2394.8,2440,2620.2,2786.9,2530.4,2717.6,2735.8,2537.4,2744.6,2532.1,2788.1,2604.3,2502.2,2498.7,2832.1,2575.6,2573.2,2774.6
1,3,2,2452.3,2638.9,2519.8,2411.8,2538,2447.6,2497.5,2347.2,2376,2570.3,2735.2,2451.7,2664.8,2681.2,2492.2,2706.4,2493.4,2712.3,2548.5,2440.5,2440.5,2788,2530.3,2523.9,2731.7
1,3,3,2423.9,2615.9,2518.5,2380.5,2524.3,2414,2466.2,2328.9,2351.2,2556.6,2713.9,2430.4,2607.1,2666.4,2463.3,2688.7,2465,2696.3,2512.6,2427.5,2409.3,2783.8,2503.2,2484.4,2706.9
1,3,4,2421.8,2615.5,2533.3,2350.8,2634.9,2403.6,2455.9,2339,2346.7,2562.1,2726.5,2431.8,2600.8,2661.9,2454.7,2681.3,2477,2686,2532.2,2407.1,2424.7,2752.9,2509.3,2463.5,2705.9
1,3,5,2453,2641.4,2589.7,2362,2679.6,2430.7,2490,2379.6,2397.2,2602.7,2766.4,2444.8,2623.8,2700.1,2493.5,2719.5,2508.2,2704.2,2516.4,2431.3,2460.6,2822.2,2552.2,2465.9,2748.2
1,3,6,2516.5,2681.4,2674.4,2422,2785.9,2518.8,2551.1,2451.9,2517.6,2692,2839.3,2477.7,2665,2780.6,2581.6,2798.2,2579.9,2757.1,2534.1,2523.5,2549.9,2910.9,2638.6,2480.1,2842.8
1,3,7,2573.1,2744.5,2793.2,2494.4,2923.5,2677,2653.5,2574.2,2690.5,2808.5,2965.2,2534.9,2686.9,2917,2711,2897.7,2701.6,2788.5,2602.4,2688.7,2672.9,3067.9,2791.4,2500.3,2964.6
