Curtailment,Petroleum,Other,Wind,Biopower,Storage,Geothermal,PV,Natural gas,Hydropower
7.95102634842948e-8,0.0,7.499999898354051,538.9270740000001,15.2,29.60294572504746,282.24999991387494,527.8699999204897,2843.539985593274,93.0
9.28209260564472e-8,0.0,7.5,441.2131879071791,15.199999875895756,0.0,282.2499998987662,664.85,2806.354407696936,93.0
9.206416962115327e-8,0.0,7.5,369.354966,15.199999878003318,0.0,282.2499999008721,637.7599999079358,2806.3597731273994,93.0
7.834597681721789e-8,0.0,7.5,406.91425392165394,15.199999897461495,220.04652266518397,282.24999991494934,144.04,2843.5392293008395,93.0
7.991548578445418e-8,0.0,7.5,347.7429559200845,15.199999900146274,437.5878732769295,282.24999991751463,0.0,2843.539174842078,93.0
8.441449494966946e-8,0.0,7.499999897205174,260.4898959155855,15.2,597.4415362803302,282.2499999152064,0.0,2843.5385705603053,93.0
8.247741334344028e-8,0.0,7.5,295.5898479175226,15.199999902417751,677.2521017943458,282.24999991939126,0.0,2843.5380511567455,93.0
9.037186643467976e-8,0.0,7.5,234.649458,15.199999873995608,0.0,282.2499999000985,1033.442456685588,2576.418087508736,93.0
2.6066869862617636e-7,0.0,7.499999446060347,122.89793399999999,15.2,0.0,282.24999972213186,3349.1240862581917,969.2383047098222,93.0
2.581430749160063e-7,0.0,7.5,84.15756000000002,15.199999447506386,0.0,282.24999972500063,3840.139532057957,969.2397168194659,93.0
2.7725675266765393e-7,0.0,7.499999462811271,49.302252,15.2,0.0,282.2499996958213,4295.959281931944,969.2073878333788,93.0
5.350047356265449,0.0,0.0,43.166264,6.080000519753525,0.0,274.08798048366407,4467.455749902934,938.0000018620722,93.0
5.363875033026488e-7,0.0,7.5,55.38101,15.19999945055769,0.0,282.25,4100.099557060213,969.2532428483472,93.0
5.394314204210104e-7,0.0,7.5,70.09529,15.199999445906244,0.0,282.25,3234.792590782568,969.2385115300294,93.0
2.6009415865502206e-7,0.0,7.49999943456073,78.304644,15.2,0.0,282.24999972509363,2454.2206345529858,969.2194781923356,93.0
1.812577763438128e-7,0.0,7.5,76.384602,15.199999682678751,0.0,282.24999979476104,1680.551238037962,1846.6741693797778,93.0
4.718447854656915e-16,0.0,7.5,65.18211199999999,15.199999758727785,915.6934462104358,282.24999967804814,7.206639699999999,2961.4878035617976,93.0
1.5905348504929862e-7,0.0,7.5,35.634156,15.19999976289273,1250.8451112780451,282.24999984027227,0.0,2961.480734867928,92.99999984094651
0.0,0.0,7.4999997635553965,41.894040000000004,15.2,1232.6934951861147,282.24999984149815,0.0,2961.4824678710133,93.0
0.0,0.0,7.499999765207331,49.914004,15.2,1120.0630192001058,282.24999968447764,0.0,2961.4829784715816,93.0
0.0,0.0,7.5,44.91536,15.199999763467304,1001.9942184441057,282.24999968286966,0.0,2961.480424365248,93.0
0.0,0.0,7.5,67.58248,15.199999762081248,840.1263828371176,282.2499998402634,0.0,2961.481142079423,93.0
1.4420007232729404e-7,0.0,7.5,120.35184000000001,15.199999760303001,102.1539449039604,282.24999983551993,699.9999998558,2961.4942257153643,93.0
1.6406309555350163e-7,0.0,7.5,142.09552,15.199999748234639,1.6190477858501432e-5,282.2499998309489,699.9999998359369,2878.8344762608476,93.0
2.842170943040401e-14,0.0,7.5,132.67072,15.2,0.0,282.25,665.47,2737.97928,93.0
2.842170943040401e-14,0.0,7.5,117.94527399999998,15.2,0.0,282.25,667.71,2690.0547241869494,93.0
2.220446049250313e-14,0.0,7.5,130.45257399999997,15.2,0.0,282.25,598.74,2691.647426000001,93.0
0.0,0.0,7.5,165.443474,15.2,0.0,282.25,500.0,2760.4065259999998,93.0
0.0,0.0,7.5,160.791062,15.2,163.29741735166758,282.25,251.5,2961.4915206483315,93.0
0.0,0.0,7.5,131.625958,15.2,584.4225213516678,282.25,0.0,2961.4915206483315,93.0
0.0,0.0,7.5,159.58716599999997,15.2,809.1513133516672,282.25,0.0,2961.4915206483315,93.0
-4.218847493575595e-14,0.0,7.5,160.414788,15.2,0.0,282.25,924.9165406233401,2910.9486713766596,93.0
-5.5067062021407764e-14,0.0,7.5,148.2355,15.2,0.0,282.25,1836.8122282750403,1780.7422717249597,93.0
4.263256414560601e-14,0.0,7.5,77.65101000000001,15.2,0.0,282.25,3041.0440005203795,1506.9766216625842,93.0
-4.263256414560601e-14,0.0,7.5,30.418874000000002,15.2,0.0,282.25,3544.9581797847804,1506.9766216625842,93.0
-2.8332891588433995e-13,0.0,0.0,16.165434,13.577417702199181,0.0,282.25,4279.747148297801,1259.0,93.0
0.0012000719999463172,0.0,0.0,9.20556,6.08,0.0,240.60331469528103,4286.26112530472,1259.0,93.0
-1.0658141036401503e-13,0.0,0.0,3.6487879999999997,6.08,0.0,276.0770857342402,4294.53412626576,1259.0,93.0
-1.4921397450962104e-13,0.0,7.5,30.663920000000008,15.2,0.0,282.25,2073.63518159788,1506.9766216625842,93.0
1.652011860642233e-13,0.0,7.5,74.28456,15.2,0.0,282.25,1288.97163510918,2284.8638048908197,93.0
-5.051514762044462e-15,0.0,7.5,82.07191999999998,15.2,1110.4049800480223,282.25,11.141211640000005,2782.401888311978,93.0
0.0,0.0,7.5,95.18096,15.2,1341.7971516880225,282.25,0.0,2782.401888311978,93.0
0.0,0.0,7.5,140.12488,15.2,1323.1932316880211,282.25,0.0,2782.401888311979,93.0
0.0,0.0,7.5,155.73768,15.2,1207.7704316880217,282.25,0.0,2782.401888311979,93.0
0.0,0.0,7.5,200.017256,15.2,1029.240855688022,282.25,0.0,2782.401888311979,93.0
