DateTime,Northern Import-Export (Sierra),Southern Import-Export (NVP),ON Line (NVP to Sierra)
2030-01-04T15:00:00.0,0.0,0.0,679.0573468890002
2030-01-04T16:00:00.0,0.0,0.0,1113.0
2030-01-04T17:00:00.0,0.0,0.0,1113.0
2030-01-04T18:00:00.0,0.0,0.0,1113.0
2030-01-04T19:00:00.0,0.0,0.0,1113.0
2030-01-04T20:00:00.0,0.0,0.0,1113.0
2030-01-04T21:00:00.0,0.0,500.0,1113.0
2030-01-04T22:00:00.0,200.0,500.0,1113.0
2030-01-04T23:00:00.0,200.0,664.0699999999999,1104.90824
2030-01-05T00:00:00.0,43.5,500.0,849.7773600000002
2030-01-05T01:00:00.0,57.6,500.0,926.4440444017298
2030-01-05T02:00:00.0,200.0,500.0,964.8467644017312
2030-01-05T03:00:00.0,180.60999999999999,500.0,1008.9450400000001
2030-01-05T04:00:00.0,0.0,0.0,808.06478984877
2030-01-05T05:00:00.0,0.0,0.0,1060.13072
2030-01-05T06:00:00.0,0.0,0.0,1057.925172377829
2030-01-05T07:00:00.0,0.0,184.18,929.9472192860001
2030-01-05T08:00:00.0,0.0,0.0,-349.36616216449823
2030-01-05T09:00:00.0,0.0,0.0,-356.51655796900036
2030-01-05T10:00:00.0,0.0,0.0,-241.84048544758127
2030-01-05T11:00:00.0,0.0,0.0,25.09847400527344
2030-01-05T12:00:00.0,0.0,0.0,-374.95917866399986
2030-01-05T13:00:00.0,0.0,0.0,-194.16941611829085
2030-01-05T14:00:00.0,0.0,0.0,-683.4082656854116
2030-01-05T15:00:00.0,0.0,0.0,-195.10472051647204
2030-01-05T16:00:00.0,0.0,0.0,1089.0157314560654
2030-01-05T17:00:00.0,0.0,0.0,758.0769523632501
2030-01-05T18:00:00.0,0.0,0.0,1113.0
2030-01-05T19:00:00.0,0.0,0.0,1042.7432307989216
2030-01-05T20:00:00.0,0.0,0.0,849.8382707287194
2030-01-05T21:00:00.0,0.0,500.0,963.6637306585213
2030-01-05T22:00:00.0,200.0,706.16,991.7698026017197
2030-01-05T23:00:00.0,200.0,571.7,991.1941107287196
