DateTime,Nevada Power,Sierra
2030-01-05T01:00:00.0,-2183.71,-1669.13
2030-01-05T02:00:00.0,-2136.26,-1649.38
2030-01-05T03:00:00.0,-2131.63,-1650.71
2030-01-05T04:00:00.0,-2148.76,-1657.87
2030-01-05T05:00:00.0,-2214.63,-1673.14
2030-01-05T06:00:00.0,-2283.26,-1724.31
2030-01-05T07:00:00.0,-2250.75,-1766.14
2030-01-05T08:00:00.0,-2002.3800000000003,-1739.84
2030-01-05T09:00:00.0,-1926.94,-1774.3199999999997
2030-01-05T10:00:00.0,-1773.18,-1731.38
2030-01-05T11:00:00.0,-1756.71,-1751.58
2030-01-05T12:00:00.0,-1724.28,-1714.8100000000002
2030-01-05T13:00:00.0,-1761.05,-1691.9
2030-01-05T14:00:00.0,-1887.2,-1676.98
2030-01-05T15:00:00.0,-2092.15,-1698.59
2030-01-05T16:00:00.0,-2362.95,-1752.23
2030-01-05T17:00:00.0,-2582.35,-1842.5499999999997
2030-01-05T18:00:00.0,-2569.37,-1827.3400000000001
2030-01-05T19:00:00.0,-2552.91,-1810.9100000000003
2030-01-05T20:00:00.0,-2465.24,-1766.1899999999998
2030-01-05T21:00:00.0,-2388.65,-1738.7100000000003
2030-01-05T22:00:00.0,-2377.58,-1732.47
2030-01-05T23:00:00.0,-2275.51,-1686.52
