DateTime,ACE Searchlight Solar,Techren Solar 2,Techren Solar V,Dry Lake East Solar,Southern Purchases (NVP),Switch Station 1 (Playa Solar 1),Boulder Solar I,Dodge Flat Solar,Switch Station 2 (Playa Solar 2),Dry Lake Solar,Battle Mountain Solar,_NVE IRP Expansion_SPPC_PV (Standalone),Spring Valley Wind,Eagle Shadow Mountain Solar Farm,Nellis Solar Array II,Fish Springs Ranch Solar,Idaho Wind,Techren Solar IV,Turquoise Nevada,Techren Solar III,Techren Solar I,Mountain View Solar,Northern Purchases (Sierra),Boulder Solar II,FRV Spectrum Solar,Sierra Solar,RV Apex Solar,Arrow Canyon Solar,Silver State Solar,Ft. Churchill Solar,Libra Solar,Boulder Solar III,Gemini Solar,Copper Mountain Solar 5
2030-01-01T12:00:00.0,16.531375,114.88599999999997,29.831886360000002,90.6926328,1000.0,40.57000000000005,96.6,95.53224896,35.13209,68.01947460000001,34.56317616500001,407.139342624,1.2978900000000002,112.36012359000001,7.692,47.99428296000001,54.08312,14.92175,26.426500000000004,14.8955,60.03640136,8.925000000000006,200.0,28.487499999999997,27.075,220.34013984,13.777226584,76.52443260000001,38.94332,9.455745000000036,339.28278551999995,80.65191665759998,261.39899721599994,150.9025
2030-01-01T13:00:00.0,14.750050000000002,114.068,25.03650276,129.92059079999999,443.46,58.196000000000005,87.738,30.459200199999998,50.39252,97.4404431,11.588860493,395.0010998639999,9.586169999999935,126.00726006000002,6.324,37.931424699999994,60.50912,12.52425,22.2615,16.03525,64.63058512,12.350000000000001,0.0,28.287499999999998,25.412399999999998,213.75339155999998,17.844670616,61.2915498000001,21.765120000000003,11.189684999999987,329.1675832199999,86.83177427699998,207.178292412,155.325
2030-01-01T14:00:00.0,12.24895,120.682,29.530362240000002,76.28183639999999,0.0,34.082,71.438,67.17167308,29.514400000000023,57.2113773,17.464548017,365.73491455199996,13.901844,116.77316772,1.38,47.35378985999999,64.4028,14.7645,4.0545,15.8255,63.772550799999806,6.8500000000000005,0.0,29.925,11.4501,197.93883168,7.886873183999999,40.4406522,25.59596,4.865639999999985,304.77909546,85.66674151607998,135.536923284,161.0925
2030-01-01T15:00:00.0,4.843475000000001,72.702,18.866009159999816,51.275624400000005,0.0,22.911,28.688000000000002,41.36038764,19.82821,38.456718300000006,24.025942115,249.48498959999995,15.694602000000003,32.778327780000005,3.9360000000000004,20.93700778,60.69,9.432500000000001,10.217,9.485000000000001,38.228529079999994,6.037599999999999,0.0,18.0375,6.7626,135.03515832,5.939956376,53.8648188,11.87108,3.8455949999999106,207.90415799999997,51.34738652022,182.78342686799996,97.1125
2030-01-01T16:00:00.0,0.0,0.0,0.0,0.0,0.0,0.0,0.27499999999999997,1.32733504,0.0,0.0,0.0,1.13402268,19.952591999999996,0.0,0.0,1.1528875799999998,45.229519999999994,0.0,0.4675,0.0,0.0,0.0,0.0,0.0,0.0,0.6136722,0.0,0.0,0.20747999999999997,0.16321499999999844,0.9450188999999999,0.0,0.0,0.0
2030-01-01T17:00:00.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.329196000000001,0.0,0.0,0.0,23.304959999999998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2030-01-01T18:00:00.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.020679999999999,0.0,0.0,0.0,30.87336,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2030-01-01T19:00:00.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.036724,0.0,0.0,0.0,44.87728,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2030-01-01T20:00:00.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,44.91536,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2030-01-01T21:00:00.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,67.58248,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
