DateTime,ACE Searchlight Solar,Techren Solar 2,Techren Solar V,Dry Lake East Solar,Switch Station 1 (Playa Solar 1),Boulder Solar I,Dodge Flat Solar,Dry Lake Solar,Switch Station 2 (Playa Solar 2),Battle Mountain Solar,Techren Solar I,Fish Springs Ranch Solar,Mountain View Solar,Spring Valley Wind,Techren Solar IV,Idaho Wind,Eagle Shadow Mountain Solar Farm,Techren Solar III,_NVE IRP Expansion_SPPC_PV (Standalone),Turquoise Nevada,Nellis Solar Array II,Boulder Solar II,Sierra Solar,FRV Spectrum Solar,RV Apex Solar,Arrow Canyon Solar,Silver State Solar,Ft. Churchill Solar,Libra Solar,Boulder Solar III,Gemini Solar,Copper Mountain Solar 5
2030-01-01T13:00:00.0,14.750050000000002,114.068,25.036502759999998,129.9205908,58.196000000000005,87.738,30.459200199999998,97.4404431,50.39252,11.588860493,64.63058512,37.9314247,12.350000000000001,9.586170000000001,12.52425,60.50912,126.00726006,16.03525,395.00109986399997,22.2615,6.324,28.287499999999998,213.75339155999998,25.412399999999998,17.844670616000002,61.291549800000006,21.765120000000003,11.189684999999999,329.16758322,86.83177427699998,207.178292412,155.325
2030-01-01T14:00:00.0,12.24895,120.682,29.53036224,76.2818364,34.082,71.438,67.17167308,57.2113773,29.5144,17.464548017,63.772550800000005,47.35378986,6.8500000000000005,13.901844,14.7645,64.4028,116.77316771999999,15.8255,365.734914552,4.0545,1.38,29.925,197.93883168,11.4501,7.886873184000001,40.4406522,25.59596,4.86564,304.77909546000006,85.66674151607998,135.536923284,161.0925
2030-01-01T15:00:00.0,4.843475000000001,72.702,18.86600916,51.27562440000001,22.911,28.688000000000002,41.36038764,38.456718300000006,19.82821,24.025942115,38.228529079999994,20.937007780000002,6.037599999999999,15.694602000000003,9.432500000000001,60.69,32.77832778,9.485000000000001,249.48498959999998,10.217,3.9360000000000004,18.0375,135.03515832,6.7626,5.9399563760000005,53.8648188,11.87108,3.845595,207.904158,51.34738652022,182.78342686799996,97.1125
2030-01-01T16:00:00.0,0.0,0.0,0.0,0.0,0.0,0.27499999999999997,1.32733504,0.0,0.0,0.0,0.0,1.15288758,0.0,19.952592000000003,0.0,45.229519999999994,0.0,0.0,1.13402268,0.4675,0.0,0.0,0.6136722,0.0,0.0,0.0,0.20747999999999997,0.16321500000000003,0.9450189000000001,0.0,0.0,0.0
2030-01-01T17:00:00.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.329196000000001,0.0,23.304959999999998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2030-01-01T18:00:00.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.02068,0.0,30.87336,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2030-01-01T19:00:00.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.036724,0.0,44.87728,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2030-01-01T20:00:00.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,44.91536,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2030-01-01T21:00:00.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,67.58248,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2030-01-01T22:00:00.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,120.35184000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
