Month,Day,Period,DPV_NV
1,1,1,0.0
1,1,2,0.0
1,1,3,0.0
1,1,4,0.0
1,1,5,0.0
1,1,6,0.0
1,1,7,0.0
1,1,8,0.0
1,1,9,0.0
1,1,10,0.0
1,1,11,0.0
1,1,12,0.0
1,1,13,0.0
1,1,14,0.0
1,1,15,0.00956
1,1,16,0.16066
1,1,17,0.2953
1,1,18,0.42749
1,1,19,0.52772
1,1,20,0.60516
1,1,21,0.66794
1,1,22,0.71307
1,1,23,0.74281
1,1,24,0.75482
1,1,25,0.75538
1,1,26,0.70506
1,1,27,0.64107
1,1,28,0.63645
1,1,29,0.57483
1,1,30,0.50978
1,1,31,0.41463
1,1,32,0.29165
1,1,33,0.157
1,1,34,0.00104
1,1,35,0.0
1,1,36,0.0
1,1,37,0.0
1,1,38,0.0
1,1,39,0.0
1,1,40,0.0
1,1,41,0.0
1,1,42,0.0
1,1,43,0.0
1,1,44,0.0
1,1,45,0.0
1,1,46,0.0
1,1,47,0.0
1,1,48,0.0
1,2,1,0.0
1,2,2,0.0
1,2,3,0.0
1,2,4,0.0
1,2,5,0.0
1,2,6,0.0
1,2,7,0.0
1,2,8,0.0
1,2,9,0.0
1,2,10,0.0
1,2,11,0.0
1,2,12,0.0
1,2,13,0.0
1,2,14,0.0
1,2,15,0.01296
1,2,16,0.14575
1,2,17,0.28764
1,2,18,0.43397
1,2,19,0.53079
1,2,20,0.61028
1,2,21,0.6673
1,2,22,0.70776
1,2,23,0.73868
1,2,24,0.75123
1,2,25,0.74382
1,2,26,0.72721
1,2,27,0.69182
1,2,28,0.64623
1,2,29,0.48176
1,2,30,0.38648
1,2,31,0.27097
1,2,32,0.23386
1,2,33,0.11023
1,2,34,0.00055
1,2,35,0.0
1,2,36,0.0
1,2,37,0.0
1,2,38,0.0
1,2,39,0.0
1,2,40,0.0
1,2,41,0.0
1,2,42,0.0
1,2,43,0.0
1,2,44,0.0
1,2,45,0.0
1,2,46,0.0
1,2,47,0.0
1,2,48,0.0
1,3,1,0.0
1,3,2,0.0
1,3,3,0.0
1,3,4,0.0
1,3,5,0.0
1,3,6,0.0
1,3,7,0.0
1,3,8,0.0
1,3,9,0.0
1,3,10,0.0
1,3,11,0.0
1,3,12,0.0
1,3,13,0.0
1,3,14,0.0
1,3,15,0.01313
1,3,16,0.15676
1,3,17,0.29471
1,3,18,0.41128
1,3,19,0.51515
1,3,20,0.58899
1,3,21,0.64577
1,3,22,0.6894
1,3,23,0.71742
1,3,24,0.7316
1,3,25,0.72766
1,3,26,0.7146
1,3,27,0.68287
1,3,28,0.63668
1,3,29,0.57368
1,3,30,0.49634
1,3,31,0.40606
1,3,32,0.28832
1,3,33,0.15118
1,3,34,0.02086
1,3,35,0.0
1,3,36,0.0
1,3,37,0.0
1,3,38,0.0
1,3,39,0.0
1,3,40,0.0
1,3,41,0.0
1,3,42,0.0
1,3,43,0.0
1,3,44,0.0
1,3,45,0.0
1,3,46,0.0
1,3,47,0.0
1,3,48,0.0
1,4,1,0.0
1,4,2,0.0
1,4,3,0.0
1,4,4,0.0
1,4,5,0.0
1,4,6,0.0
1,4,7,0.0
1,4,8,0.0
1,4,9,0.0
1,4,10,0.0
1,4,11,0.0
1,4,12,0.0
1,4,13,0.0
1,4,14,0.0
