Month,Day,Period,DPV_NV
1,1,1,0.0
1,1,2,0.0
1,1,3,0.0
1,1,4,0.0
1,1,5,0.0
1,1,6,0.0
1,1,7,0.0
1,1,8,0.0
1,1,9,0.0
1,1,10,0.0
1,1,11,0.0
1,1,12,0.0
1,1,13,0.0
1,1,14,0.0
1,1,15,0.02124
1,1,16,0.1685
1,1,17,0.28514
1,1,18,0.43271
1,1,19,0.54068
1,1,20,0.6232
1,1,21,0.6873
1,1,22,0.73325
1,1,23,0.76042
1,1,24,0.77653
1,1,25,0.77403
1,1,26,0.75546
1,1,27,0.72127
1,1,28,0.67035
1,1,29,0.60517
1,1,30,0.52309
1,1,31,0.423
1,1,32,0.3016
1,1,33,0.16704
1,1,34,0.00115
1,1,35,0.0
1,1,36,0.0
1,1,37,0.0
1,1,38,0.0
1,1,39,0.0
1,1,40,0.0
1,1,41,0.0
1,1,42,0.0
1,1,43,0.0
1,1,44,0.0
1,1,45,0.0
1,1,46,0.0
1,1,47,0.0
1,1,48,0.0
1,2,1,0.0
1,2,2,0.0
1,2,3,0.0
1,2,4,0.0
1,2,5,0.0
1,2,6,0.0
1,2,7,0.0
1,2,8,0.0
1,2,9,0.0
1,2,10,0.0
1,2,11,0.0
1,2,12,0.0
1,2,13,0.0
1,2,14,0.0
1,2,15,0.01884
1,2,16,0.15574
1,2,17,0.30584
1,2,18,0.4314
1,2,19,0.53234
1,2,20,0.6115
1,2,21,0.67704
1,2,22,0.72276
1,2,23,0.75176
1,2,24,0.76534
1,2,25,0.76292
1,2,26,0.7412
1,2,27,0.70906
1,2,28,0.664
1,2,29,0.59956
1,2,30,0.51883
1,2,31,0.42002
1,2,32,0.29964
1,2,33,0.16819
1,2,34,0.004
1,2,35,0.0
1,2,36,0.0
1,2,37,0.0
1,2,38,0.0
1,2,39,0.0
1,2,40,0.0
1,2,41,0.0
1,2,42,0.0
1,2,43,0.0
1,2,44,0.0
1,2,45,0.0
1,2,46,0.0
1,2,47,0.0
1,2,48,0.0
1,3,1,0.0
1,3,2,0.0
1,3,3,0.0
1,3,4,0.0
1,3,5,0.0
1,3,6,0.0
1,3,7,0.0
1,3,8,0.0
1,3,9,0.0
1,3,10,0.0
1,3,11,0.0
1,3,12,0.0
1,3,13,0.0
1,3,14,0.0
1,3,15,0.01854
1,3,16,0.16719
1,3,17,0.3006
1,3,18,0.44344
1,3,19,0.55507
1,3,20,0.64232
1,3,21,0.70824
1,3,22,0.75622
1,3,23,0.78663
1,3,24,0.80049
1,3,25,0.79751
1,3,26,0.77868
1,3,27,0.74351
1,3,28,0.69252
1,3,29,0.62494
1,3,30,0.54131
1,3,31,0.43953
1,3,32,0.31573
1,3,33,0.17887
1,3,34,0.03334
1,3,35,0.0
1,3,36,0.0
1,3,37,0.0
1,3,38,0.0
1,3,39,0.0
1,3,40,0.0
1,3,41,0.0
1,3,42,0.0
1,3,43,0.0
1,3,44,0.0
1,3,45,0.0
1,3,46,0.0
1,3,47,0.0
1,3,48,0.0
1,4,1,0.0
1,4,2,0.0
1,4,3,0.0
1,4,4,0.0
1,4,5,0.0
1,4,6,0.0
1,4,7,0.0
1,4,8,0.0
1,4,9,0.0
1,4,10,0.0
1,4,11,0.0
1,4,12,0.0
1,4,13,0.0
1,4,14,0.0
