Month,Day,Period,DPV_NV
1,1,1,0.0
1,1,2,0.0
1,1,3,0.0
1,1,4,0.0
1,1,5,0.0
1,1,6,0.0
1,1,7,0.0
1,1,8,0.0
1,1,9,0.0
1,1,10,0.0
1,1,11,0.0
1,1,12,0.0
1,1,13,0.0
1,1,14,0.0
1,1,15,0.01293
1,1,16,0.06601
1,1,17,0.16271
1,1,18,0.29658
1,1,19,0.50841
1,1,20,0.57382
1,1,21,0.67336
1,1,22,0.72063
1,1,23,0.74703
1,1,24,0.75825
1,1,25,0.75741
1,1,26,0.74139
1,1,27,0.71235
1,1,28,0.66845
1,1,29,0.60256
1,1,30,0.52493
1,1,31,0.38841
1,1,32,0.22278
1,1,33,0.10793
1,1,34,0.00019
1,1,35,0.0
1,1,36,0.0
1,1,37,0.0
1,1,38,0.0
1,1,39,0.0
1,1,40,0.0
1,1,41,0.0
1,1,42,0.0
1,1,43,0.0
1,1,44,0.0
1,1,45,0.0
1,1,46,0.0
1,1,47,0.0
1,1,48,0.0
1,2,1,0.0
1,2,2,0.0
1,2,3,0.0
1,2,4,0.0
1,2,5,0.0
1,2,6,0.0
1,2,7,0.0
1,2,8,0.0
1,2,9,0.0
1,2,10,0.0
1,2,11,0.0
1,2,12,0.0
1,2,13,0.0
1,2,14,0.0
1,2,15,0.00993
1,2,16,0.08273
1,2,17,0.1682
1,2,18,0.25671
1,2,19,0.51604
1,2,20,0.5082
1,2,21,0.59253
1,2,22,0.71464
1,2,23,0.65114
1,2,24,0.54563
1,2,25,0.45004
1,2,26,0.34946
1,2,27,0.41359
1,2,28,0.36665
1,2,29,0.22162
1,2,30,0.10393
1,2,31,0.06114
1,2,32,0.04911
1,2,33,0.02184
1,2,34,0.00086
1,2,35,0.0
1,2,36,0.0
1,2,37,0.0
1,2,38,0.0
1,2,39,0.0
1,2,40,0.0
1,2,41,0.0
1,2,42,0.0
1,2,43,0.0
1,2,44,0.0
1,2,45,0.0
1,2,46,0.0
1,2,47,0.0
1,2,48,0.0
1,3,1,0.0
1,3,2,0.0
1,3,3,0.0
1,3,4,0.0
1,3,5,0.0
1,3,6,0.0
1,3,7,0.0
1,3,8,0.0
1,3,9,0.0
1,3,10,0.0
1,3,11,0.0
1,3,12,0.0
1,3,13,0.0
1,3,14,0.0
1,3,15,0.00078
1,3,16,0.01478
1,3,17,0.03706
1,3,18,0.07099
1,3,19,0.14112
1,3,20,0.16941
1,3,21,0.22627
1,3,22,0.30644
1,3,23,0.33184
1,3,24,0.30915
1,3,25,0.22996
1,3,26,0.16876
1,3,27,0.20742
1,3,28,0.26
1,3,29,0.21765
1,3,30,0.17219
1,3,31,0.12619
1,3,32,0.09405
1,3,33,0.04577
1,3,34,0.01188
1,3,35,0.0
1,3,36,0.0
1,3,37,0.0
1,3,38,0.0
1,3,39,0.0
1,3,40,0.0
1,3,41,0.0
1,3,42,0.0
1,3,43,0.0
1,3,44,0.0
1,3,45,0.0
1,3,46,0.0
1,3,47,0.0
1,3,48,0.0
1,4,1,0.0
1,4,2,0.0
1,4,3,0.0
1,4,4,0.0
1,4,5,0.0
1,4,6,0.0
1,4,7,0.0
1,4,8,0.0
1,4,9,0.0
1,4,10,0.0
1,4,11,0.0
1,4,12,0.0
1,4,13,0.0
1,4,14,0.0
