Month,Day,Period,DPV_NV
1,1,1,0.0
1,1,2,0.0
1,1,3,0.0
1,1,4,0.0
1,1,5,0.0
1,1,6,0.0
1,1,7,0.0
1,1,8,0.0
1,1,9,0.0
1,1,10,0.0
1,1,11,0.0
1,1,12,0.0
1,1,13,0.0
1,1,14,0.0
1,1,15,0.00801
1,1,16,0.13198
1,1,17,0.26628
1,1,18,0.38702
1,1,19,0.48305
1,1,20,0.55819
1,1,21,0.62812
1,1,22,0.67789
1,1,23,0.71181
1,1,24,0.73215
1,1,25,0.73672
1,1,26,0.71753
1,1,27,0.69459
1,1,28,0.64323
1,1,29,0.5799
1,1,30,0.50686
1,1,31,0.40708
1,1,32,0.28372
1,1,33,0.15019
1,1,34,0.00015
1,1,35,0.0
1,1,36,0.0
1,1,37,0.0
1,1,38,0.0
1,1,39,0.0
1,1,40,0.0
1,1,41,0.0
1,1,42,0.0
1,1,43,0.0
1,1,44,0.0
1,1,45,0.0
1,1,46,0.0
1,1,47,0.0
1,1,48,0.0
1,2,1,0.0
1,2,2,0.0
1,2,3,0.0
1,2,4,0.0
1,2,5,0.0
1,2,6,0.0
1,2,7,0.0
1,2,8,0.0
1,2,9,0.0
1,2,10,0.0
1,2,11,0.0
1,2,12,0.0
1,2,13,0.0
1,2,14,0.0
1,2,15,0.00144
1,2,16,0.04723
1,2,17,0.10249
1,2,18,0.15873
1,2,19,0.21082
1,2,20,0.27582
1,2,21,0.3621
1,2,22,0.38907
1,2,23,0.4162
1,2,24,0.53071
1,2,25,0.40472
1,2,26,0.54208
1,2,27,0.5582
1,2,28,0.51504
1,2,29,0.50204
1,2,30,0.45928
1,2,31,0.32546
1,2,32,0.18892
1,2,33,0.06683
1,2,34,0.00397
1,2,35,0.0
1,2,36,0.0
1,2,37,0.0
1,2,38,0.0
1,2,39,0.0
1,2,40,0.0
1,2,41,0.0
1,2,42,0.0
1,2,43,0.0
1,2,44,0.0
1,2,45,0.0
1,2,46,0.0
1,2,47,0.0
1,2,48,0.0
1,3,1,0.0
1,3,2,0.0
1,3,3,0.0
1,3,4,0.0
1,3,5,0.0
1,3,6,0.0
1,3,7,0.0
1,3,8,0.0
1,3,9,0.0
1,3,10,0.0
1,3,11,0.0
1,3,12,0.0
1,3,13,0.0
1,3,14,0.0
1,3,15,0.00117
1,3,16,0.03951
1,3,17,0.1227
1,3,18,0.18038
1,3,19,0.24377
1,3,20,0.37574
1,3,21,0.40953
1,3,22,0.35327
1,3,23,0.29319
1,3,24,0.38186
1,3,25,0.44986
1,3,26,0.49008
1,3,27,0.48398
1,3,28,0.45161
1,3,29,0.3913
1,3,30,0.31925
1,3,31,0.22646
1,3,32,0.14267
1,3,33,0.0374
1,3,34,0.00305
1,3,35,0.0
1,3,36,0.0
1,3,37,0.0
1,3,38,0.0
1,3,39,0.0
1,3,40,0.0
1,3,41,0.0
1,3,42,0.0
1,3,43,0.0
1,3,44,0.0
1,3,45,0.0
1,3,46,0.0
1,3,47,0.0
1,3,48,0.0
1,4,1,0.0
1,4,2,0.0
1,4,3,0.0
1,4,4,0.0
1,4,5,0.0
1,4,6,0.0
1,4,7,0.0
1,4,8,0.0
1,4,9,0.0
1,4,10,0.0
1,4,11,0.0
1,4,12,0.0
1,4,13,0.0
1,4,14,0.0
