Month,Day,Period,DPV_NV
1,1,1,0.0
1,1,2,0.0
1,1,3,0.0
1,1,4,0.0
1,1,5,0.0
1,1,6,0.0
1,1,7,0.0
1,1,8,0.0
1,1,9,0.0
1,1,10,0.0
1,1,11,0.0
1,1,12,0.0
1,1,13,0.0
1,1,14,0.0
1,1,15,0.01677
1,1,16,0.16354
1,1,17,0.30205
1,1,18,0.42383
1,1,19,0.52103
1,1,20,0.59999
1,1,21,0.66185
1,1,22,0.70802
1,1,23,0.73761
1,1,24,0.75168
1,1,25,0.74913
1,1,26,0.7315
1,1,27,0.69773
1,1,28,0.6494
1,1,29,0.58531
1,1,30,0.50449
1,1,31,0.40637
1,1,32,0.2892
1,1,33,0.15779
1,1,34,0.001
1,1,35,0.0
1,1,36,0.0
1,1,37,0.0
1,1,38,0.0
1,1,39,0.0
1,1,40,0.0
1,1,41,0.0
1,1,42,0.0
1,1,43,0.0
1,1,44,0.0
1,1,45,0.0
1,1,46,0.0
1,1,47,0.0
1,1,48,0.0
1,2,1,0.0
1,2,2,0.0
1,2,3,0.0
1,2,4,0.0
1,2,5,0.0
1,2,6,0.0
1,2,7,0.0
1,2,8,0.0
1,2,9,0.0
1,2,10,0.0
1,2,11,0.0
1,2,12,0.0
1,2,13,0.0
1,2,14,0.0
1,2,15,0.00546
1,2,16,0.09419
1,2,17,0.19047
1,2,18,0.27628
1,2,19,0.48894
1,2,20,0.60444
1,2,21,0.65224
1,2,22,0.67022
1,2,23,0.73407
1,2,24,0.74274
1,2,25,0.73887
1,2,26,0.7262
1,2,27,0.69376
1,2,28,0.64675
1,2,29,0.58452
1,2,30,0.5055
1,2,31,0.41148
1,2,32,0.29264
1,2,33,0.16041
1,2,34,0.00891
1,2,35,0.0
1,2,36,0.0
1,2,37,0.0
1,2,38,0.0
1,2,39,0.0
1,2,40,0.0
1,2,41,0.0
1,2,42,0.0
1,2,43,0.0
1,2,44,0.0
1,2,45,0.0
1,2,46,0.0
1,2,47,0.0
1,2,48,0.0
1,3,1,0.0
1,3,2,0.0
1,3,3,0.0
1,3,4,0.0
1,3,5,0.0
1,3,6,0.0
1,3,7,0.0
1,3,8,0.0
1,3,9,0.0
1,3,10,0.0
1,3,11,0.0
1,3,12,0.0
1,3,13,0.0
1,3,14,0.0
1,3,15,0.01584
1,3,16,0.16347
1,3,17,0.30064
1,3,18,0.41969
1,3,19,0.51404
1,3,20,0.58619
1,3,21,0.64001
1,3,22,0.67838
1,3,23,0.70019
1,3,24,0.71153
1,3,25,0.70737
1,3,26,0.69387
1,3,27,0.66293
1,3,28,0.62234
1,3,29,0.56571
1,3,30,0.49556
1,3,31,0.32782
1,3,32,0.27169
1,3,33,0.08785
1,3,34,0.00398
1,3,35,0.0
1,3,36,0.0
1,3,37,0.0
1,3,38,0.0
1,3,39,0.0
1,3,40,0.0
1,3,41,0.0
1,3,42,0.0
1,3,43,0.0
1,3,44,0.0
1,3,45,0.0
1,3,46,0.0
1,3,47,0.0
1,3,48,0.0
1,4,1,0.0
1,4,2,0.0
1,4,3,0.0
1,4,4,0.0
1,4,5,0.0
1,4,6,0.0
1,4,7,0.0
1,4,8,0.0
1,4,9,0.0
1,4,10,0.0
1,4,11,0.0
1,4,12,0.0
1,4,13,0.0
1,4,14,0.0
