Month,Day,Period,DPV_NV
1,1,1,0.0
1,1,2,0.0
1,1,3,0.0
1,1,4,0.0
1,1,5,0.0
1,1,6,0.0
1,1,7,0.0
1,1,8,0.0
1,1,9,0.0
1,1,10,0.0
1,1,11,0.0
1,1,12,0.0
1,1,13,0.0
1,1,14,0.0
1,1,15,0.01301
1,1,16,0.114
1,1,17,0.28369
1,1,18,0.44081
1,1,19,0.55395
1,1,20,0.63693
1,1,21,0.70092
1,1,22,0.7502
1,1,23,0.78307
1,1,24,0.79979
1,1,25,0.79922
1,1,26,0.78252
1,1,27,0.74922
1,1,28,0.6981
1,1,29,0.6307
1,1,30,0.54538
1,1,31,0.4405
1,1,32,0.31346
1,1,33,0.17309
1,1,34,0.00117
1,1,35,0.0
1,1,36,0.0
1,1,37,0.0
1,1,38,0.0
1,1,39,0.0
1,1,40,0.0
1,1,41,0.0
1,1,42,0.0
1,1,43,0.0
1,1,44,0.0
1,1,45,0.0
1,1,46,0.0
1,1,47,0.0
1,1,48,0.0
1,2,1,0.0
1,2,2,0.0
1,2,3,0.0
1,2,4,0.0
1,2,5,0.0
1,2,6,0.0
1,2,7,0.0
1,2,8,0.0
1,2,9,0.0
1,2,10,0.0
1,2,11,0.0
1,2,12,0.0
1,2,13,0.0
1,2,14,0.0
1,2,15,0.01858
1,2,16,0.17842
1,2,17,0.32436
1,2,18,0.45509
1,2,19,0.55953
1,2,20,0.64361
1,2,21,0.70321
1,2,22,0.7519
1,2,23,0.75592
1,2,24,0.67062
1,2,25,0.62371
1,2,26,0.60087
1,2,27,0.67524
1,2,28,0.65055
1,2,29,0.61864
1,2,30,0.53286
1,2,31,0.42878
1,2,32,0.30188
1,2,33,0.16655
1,2,34,0.01957
1,2,35,0.0
1,2,36,0.0
1,2,37,0.0
1,2,38,0.0
1,2,39,0.0
1,2,40,0.0
1,2,41,0.0
1,2,42,0.0
1,2,43,0.0
1,2,44,0.0
1,2,45,0.0
1,2,46,0.0
1,2,47,0.0
1,2,48,0.0
1,3,1,0.0
1,3,2,0.0
1,3,3,0.0
1,3,4,0.0
1,3,5,0.0
1,3,6,0.0
1,3,7,0.0
1,3,8,0.0
1,3,9,0.0
1,3,10,0.0
1,3,11,0.0
1,3,12,0.0
1,3,13,0.0
1,3,14,0.0
1,3,15,0.01834
1,3,16,0.18479
1,3,17,0.33523
1,3,18,0.46905
1,3,19,0.57487
1,3,20,0.65844
1,3,21,0.72514
1,3,22,0.77406
1,3,23,0.80516
1,3,24,0.81978
1,3,25,0.81682
1,3,26,0.79686
1,3,27,0.76088
1,3,28,0.70917
1,3,29,0.64189
1,3,30,0.55635
1,3,31,0.4535
1,3,32,0.32712
1,3,33,0.18752
1,3,34,0.04173
1,3,35,0.0
1,3,36,0.0
1,3,37,0.0
1,3,38,0.0
1,3,39,0.0
1,3,40,0.0
1,3,41,0.0
1,3,42,0.0
1,3,43,0.0
1,3,44,0.0
1,3,45,0.0
1,3,46,0.0
1,3,47,0.0
1,3,48,0.0
1,4,1,0.0
1,4,2,0.0
1,4,3,0.0
1,4,4,0.0
1,4,5,0.0
1,4,6,0.0
1,4,7,0.0
1,4,8,0.0
1,4,9,0.0
1,4,10,0.0
1,4,11,0.0
1,4,12,0.0
1,4,13,0.0
1,4,14,0.0
