Month,Day,Period,DPV_NV
1,1,1,0.0
1,1,2,0.0
1,1,3,0.0
1,1,4,0.0
1,1,5,0.0
1,1,6,0.0
1,1,7,0.0
1,1,8,0.0
1,1,9,0.0
1,1,10,0.0
1,1,11,0.0
1,1,12,0.0
1,1,13,0.0
1,1,14,0.0
1,1,15,0.01231
1,1,16,0.1571
1,1,17,0.29567
1,1,18,0.42595
1,1,19,0.52792
1,1,20,0.49006
1,1,21,0.66695
1,1,22,0.71414
1,1,23,0.7472
1,1,24,0.76192
1,1,25,0.76257
1,1,26,0.74752
1,1,27,0.71576
1,1,28,0.66934
1,1,29,0.60685
1,1,30,0.52295
1,1,31,0.42231
1,1,32,0.29552
1,1,33,0.15736
1,1,34,0.00115
1,1,35,0.0
1,1,36,0.0
1,1,37,0.0
1,1,38,0.0
1,1,39,0.0
1,1,40,0.0
1,1,41,0.0
1,1,42,0.0
1,1,43,0.0
1,1,44,0.0
1,1,45,0.0
1,1,46,0.0
1,1,47,0.0
1,1,48,0.0
1,2,1,0.0
1,2,2,0.0
1,2,3,0.0
1,2,4,0.0
1,2,5,0.0
1,2,6,0.0
1,2,7,0.0
1,2,8,0.0
1,2,9,0.0
1,2,10,0.0
1,2,11,0.0
1,2,12,0.0
1,2,13,0.0
1,2,14,0.0
1,2,15,0.01757
1,2,16,0.17078
1,2,17,0.31537
1,2,18,0.44325
1,2,19,0.54422
1,2,20,0.62451
1,2,21,0.68649
1,2,22,0.73151
1,2,23,0.76046
1,2,24,0.77362
1,2,25,0.77059
1,2,26,0.75314
1,2,27,0.72007
1,2,28,0.67082
1,2,29,0.60584
1,2,30,0.5236
1,2,31,0.42453
1,2,32,0.30346
1,2,33,0.16635
1,2,34,0.00908
1,2,35,0.0
1,2,36,0.0
1,2,37,0.0
1,2,38,0.0
1,2,39,0.0
1,2,40,0.0
1,2,41,0.0
1,2,42,0.0
1,2,43,0.0
1,2,44,0.0
1,2,45,0.0
1,2,46,0.0
1,2,47,0.0
1,2,48,0.0
1,3,1,0.0
1,3,2,0.0
1,3,3,0.0
1,3,4,0.0
1,3,5,0.0
1,3,6,0.0
1,3,7,0.0
1,3,8,0.0
1,3,9,0.0
1,3,10,0.0
1,3,11,0.0
1,3,12,0.0
1,3,13,0.0
1,3,14,0.0
1,3,15,0.01544
1,3,16,0.16381
1,3,17,0.29948
1,3,18,0.41927
1,3,19,0.51244
1,3,20,0.58108
1,3,21,0.63713
1,3,22,0.67825
1,3,23,0.70314
1,3,24,0.71911
1,3,25,0.72045
1,3,26,0.70604
1,3,27,0.67276
1,3,28,0.63105
1,3,29,0.57309
1,3,30,0.49817
1,3,31,0.40361
1,3,32,0.28356
1,3,33,0.15275
1,3,34,0.02113
1,3,35,0.0
1,3,36,0.0
1,3,37,0.0
1,3,38,0.0
1,3,39,0.0
1,3,40,0.0
1,3,41,0.0
1,3,42,0.0
1,3,43,0.0
1,3,44,0.0
1,3,45,0.0
1,3,46,0.0
1,3,47,0.0
1,3,48,0.0
1,4,1,0.0
1,4,2,0.0
1,4,3,0.0
1,4,4,0.0
1,4,5,0.0
1,4,6,0.0
1,4,7,0.0
1,4,8,0.0
1,4,9,0.0
1,4,10,0.0
1,4,11,0.0
1,4,12,0.0
1,4,13,0.0
1,4,14,0.0
