Month,Day,Period,ACE Searchlight Solar,Arrow Canyon Solar,Battle Mountain Solar,Boulder Solar I,Boulder Solar II,Boulder Solar III,Copper Mountain Solar 5,Crescent Dunes Solar Thermal,Dodge Flat Solar,Dry Lake Solar,Eagle Shadow Mountain Solar Farm,FRV Spectrum Solar,Fish Springs Ranch Solar,Ft. Churchill Solar,Gemini Solar,Mountain View Solar,NV Generic Solar,NV Generic Solar Hybrid,Nellis Solar Array II,Nevada Solar One,RV Apex Solar,Silver State Solar,Stillwater 2 Solar,Switch Station 1 (Playa Solar 1),Switch Station 2 (Playa Solar 2),Techren Solar 2,Techren Solar I,Techren Solar III,Techren Solar IV,Techren Solar V,Turquoise Nevada
1,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,1,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,1,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,1,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,1,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,1,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,1,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,1,8,0.12619,0.09386,0.00628,0.09225,0.098,0.09852,0.10011,0.23693,0.0117,0.09551,0.06897,0.13208,0.01209,0.02092,0.09597,0.10062,0.09042,0.09047,0.084,0.08974,0.07998,0.07555,0.02509,0.0913,0.10001,0.09885,0.10006,0.09904,0.09957,0.09956,0.01173
1,1,9,0.32487,0.31974,0.41227,0.3435,0.304,0.31891,0.32636,0.82225,0.38168,0.32301,0.4549,0.17,0.38896,0.34158,0.43706,0.34562,0.42083,0.42099,0.2784,0.29809,0.31,0.23486,0.39819,0.30886,0.33853,0.30643,0.3238,0.32123,0.30865,0.30891,0.30787
1,1,10,0.82055,0.43017,0.56737,0.77962,0.401,0.43977,0.4488,0.92669,0.62316,0.37692,0.60626,0.41958,0.62686,0.5979,0.46116,0.37438,0.53058,0.53069,0.3424,0.41965,0.4247,0.42185,0.62783,0.36123,0.39593,0.40427,0.44656,0.44333,0.39774,0.39773,0.48977
1,1,11,0.94325,0.61094,0.51639,0.95725,0.594,0.60938,0.62706,0.70474,0.58227,0.55207,0.75929,0.87,0.5915,0.70722,0.61032,0.58812,0.63786,0.63788,0.4232,0.55061,0.87606,0.69917,0.75492,0.53085,0.58171,0.59888,0.61882,0.61416,0.53084,0.53083,0.60164
1,1,12,0.92373,0.52566,0.46904,0.98275,0.49075,0.51665,0.50118,0.95943,0.51129,0.47355,0.79167,0.92042,0.52468,0.7679,0.55322,0.50625,0.56298,0.563,0.4616,0.47548,0.8525,0.71465,0.81056,0.45538,0.4991,0.49461,0.5247,0.52088,0.49049,0.49048,0.47685
1,1,13,0.73132,0.46664,0.49876,0.75588,0.51375,0.56124,0.56016,0.99802,0.50733,0.4667,0.649,0.71083,0.51792,0.77104,0.47205,0.46312,0.54413,0.54412,0.4096,0.51235,0.72974,0.80616,0.80947,0.44889,0.49211,0.51799,0.56985,0.56542,0.46743,0.46742,0.66114
1,1,14,0.8589,0.50694,0.57051,0.84838,0.606,0.63802,0.61819,0.97028,0.57239,0.50189,0.56665,0.67667,0.5811,0.71402,0.50399,0.4975,0.60393,0.60388,0.4704,0.5793,0.70184,0.73647,0.7451,0.48339,0.52978,0.61085,0.64786,0.64298,0.61259,0.61231,0.60725
1,1,15,0.64347,0.51428,0.59068,0.664,0.61175,0.62725,0.65837,0.90865,0.61263,0.50536,0.44832,0.43958,0.62361,0.60051,0.52111,0.49,0.61973,0.61963,0.42,0.58713,0.57226,0.57576,0.60819,0.48718,0.53403,0.61664,0.6369,0.63198,0.64036,0.64034,0.49572
1,1,16,0.26143,0.23524,0.31285,0.2675,0.30125,0.31109,0.32044,0.47012,0.39631,0.23729,0.17819,0.2325,0.42861,0.33269,0.23464,0.23625,0.30673,0.30675,0.2184,0.27565,0.23188,0.22242,0.35673,0.22816,0.25003,0.30353,0.31588,0.31337,0.36629,0.36602,0.31229
1,1,17,0.00558,0.0052,0.00362,0.0055,0.00425,0.00437,0.0047,0.0167,0.01853,0.00563,0.00387,0.00458,0.02925,0.02145,0.00505,0.00562,0.00765,0.00765,0.0056,0.00348,0.00558,0.00704,0.01582,0.00538,0.00603,0.00422,0.00436,0.00419,0.00367,0.00393,0.0221
