Month,Day,Period,ACE Searchlight Solar,Arrow Canyon Solar,Battle Mountain Solar,Boulder Solar I,Boulder Solar II,Boulder Solar III,Copper Mountain Solar 5,Crescent Dunes Solar Thermal,Dodge Flat Solar,Dry Lake Solar,Eagle Shadow Mountain Solar Farm,FRV Spectrum Solar,Fish Springs Ranch Solar,Ft. Churchill Solar,Gemini Solar,Mountain View Solar,NV Generic Solar,NV Generic Solar Hybrid,Nellis Solar Array II,Nevada Solar One,RV Apex Solar,Silver State Solar,Stillwater 2 Solar,Switch Station 1 (Playa Solar 1),Switch Station 2 (Playa Solar 2),Techren Solar 2,Techren Solar I,Techren Solar III,Techren Solar IV,Techren Solar V,Turquoise Nevada
1,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,1,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,1,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,1,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,1,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,1,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,1,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,1,8,0.21054,0.20527,0.04047,0.2145,0.208,0.21521,0.22113,0.4513,0.0,0.20514,0.1637,0.1875,0.0,0.00471,0.20683,0.2025,0.19017,0.1903,0.1888,0.19965,0.17484,0.16987,0.02946,0.19573,0.21454,0.2096,0.21846,0.21695,0.21695,0.21694,0.01683
1,1,9,0.64557,0.64721,0.42556,0.65288,0.63825,0.663,0.67722,0.85786,0.39293,0.6474,0.47451,0.62708,0.12805,0.10619,0.64893,0.6275,0.64996,0.65017,0.5976,0.6127,0.55862,0.50021,0.39873,0.62009,0.67953,0.64336,0.67321,0.66813,0.66813,0.66812,0.31246
1,1,10,0.85471,0.6864,0.57703,0.86538,0.668,0.6952,0.70789,0.95905,0.63863,0.68571,0.6736,0.83583,0.64168,0.6183,0.68525,0.67062,0.73441,0.73453,0.636,0.64348,0.78058,0.70198,0.62347,0.65807,0.72117,0.67334,0.70581,0.70062,0.70115,0.70139,0.50031
1,1,11,0.9795,0.62946,0.52062,0.993,0.61875,0.64371,0.65509,0.97873,0.59527,0.6292,0.79395,0.95833,0.60294,0.74279,0.62862,0.61312,0.67724,0.67733,0.588,0.59565,0.9207,0.82751,0.7522,0.60411,0.66213,0.62376,0.65367,0.64874,0.64927,0.64925,0.62238
1,1,12,0.99972,0.58721,0.47194,1.0,0.58,0.60227,0.61375,0.97229,0.52247,0.587,0.84267,1.0,0.5343,0.79981,0.58732,0.57188,0.62741,0.62747,0.5472,0.55791,0.99386,0.88006,0.81111,0.56392,0.61801,0.5847,0.61156,0.60682,0.60839,0.60864,0.68103
1,1,13,0.99972,0.60249,0.50226,1.0,0.59325,0.61679,0.62816,0.97623,0.51948,0.6026,0.81825,0.98208,0.52741,0.7972,0.60288,0.58625,0.64094,0.64097,0.5608,0.5713,0.99262,0.85965,0.81656,0.57927,0.63486,0.59793,0.62634,0.6215,0.62254,0.62227,0.68001
1,1,14,0.90561,0.65104,0.5757,0.91875,0.6355,0.66077,0.67611,0.96682,0.58578,0.65087,0.72064,0.88042,0.59007,0.73861,0.65102,0.635,0.69555,0.69555,0.6048,0.61409,0.9176,0.76627,0.75383,0.62627,0.68638,0.64046,0.67096,0.66604,0.66709,0.66707,0.62136
1,1,15,0.72713,0.66183,0.603,0.74262,0.64525,0.67113,0.68852,0.92218,0.62537,0.66144,0.55246,0.70542,0.63388,0.61725,0.66095,0.6475,0.71274,0.71271,0.6152,0.62035,0.76198,0.60063,0.61692,0.63671,0.69788,0.65035,0.68152,0.67652,0.67757,0.67755,0.5066
1,1,16,0.40296,0.38597,0.32095,0.41537,0.39025,0.40727,0.41855,0.79066,0.40313,0.38844,0.29876,0.37042,0.43784,0.35047,0.3855,0.38562,0.42937,0.42943,0.3672,0.37722,0.38068,0.35615,0.37146,0.3731,0.40881,0.39331,0.41356,0.41031,0.40822,0.40821,0.32385
1,1,17,0.0,0.0,0.0,0.01438,0.0,0.0,0.0,0.27178,0.02152,0.0,0.0,0.0,0.00715,0.02511,0.0,0.0,0.00438,0.00438,0.0,0.0,0.0,0.01408,0.01909,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02516
