Month,Day,Period,ACE Searchlight Solar,Arrow Canyon Solar,Battle Mountain Solar,Boulder Solar I,Boulder Solar II,Boulder Solar III,Copper Mountain Solar 5,Crescent Dunes Solar Thermal,Dodge Flat Solar,Dry Lake Solar,Eagle Shadow Mountain Solar Farm,FRV Spectrum Solar,Fish Springs Ranch Solar,Ft. Churchill Solar,Gemini Solar,Mountain View Solar,NV Generic Solar,NV Generic Solar Hybrid,Nellis Solar Array II,Nevada Solar One,RV Apex Solar,Silver State Solar,Stillwater 2 Solar,Switch Station 1 (Playa Solar 1),Switch Station 2 (Playa Solar 2),Techren Solar 2,Techren Solar I,Techren Solar III,Techren Solar IV,Techren Solar V,Turquoise Nevada
1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1,8,0.22239,0.22055,0.00846,0.2275,0.10775,0.14259,0.1093,0.16704,0,0.22005,0.17867,0.2025,0,0.00628,0.2227,0.21938,0.16757,0.16776,0.2032,0.10261,0.19034,0.18582,0.01036,0.20918,0.22934,0.10855,0.14481,0.14358,0.109,0.10873,0.00459
1,1,9,0.6853,0.69576,0.10292,0.69962,0.68525,0.71236,0.72484,0.70416,0.08782,0.69446,0.51385,0.67292,0.44707,0.1721,0.69761,0.6875,0.66455,0.66504,0.6448,0.65843,0.61256,0.54479,0.32455,0.66203,0.7257,0.69073,0.72337,0.71792,0.71896,0.71895,0.1768
1,1,10,0.89584,0.73717,0.69239,0.9155,0.714,0.74314,0.75489,1.00004,0.74627,0.7365,0.72674,0.89417,0.72852,0.53931,0.73761,0.72625,0.79052,0.79097,0.6824,0.68748,0.84692,0.75736,0.70965,0.70316,0.77063,0.71978,0.75452,0.74883,0.74988,0.74986,0.31229
1,1,11,0.99972,0.67457,0.62221,1,0.65675,0.68301,0.69364,1.00004,0.69186,0.6741,0.84964,1,0.67379,0.82283,0.67442,0.655,0.72748,0.72786,0.6264,0.63113,0.98146,0.88335,0.7211,0.64399,0.70583,0.66207,0.69353,0.68857,0.6891,0.68908,0.51714
1,1,12,0.99972,0.62927,0.55722,1,0.614,0.63893,0.64364,1.00004,0.59553,0.6292,0.89625,0.805,0.59592,0.78673,0.6289,0.61125,0.67097,0.67129,0.5848,0.59096,1.00006,0.92534,0.75274,0.60158,0.65925,0.61898,0.64878,0.64403,0.64455,0.6448,0.58464
1,1,13,0.99972,0.645,0.59068,1,0.62175,0.64574,0.65694,1.00004,0.58949,0.64402,0.85987,1,0.58825,0.79877,0.64395,0.62562,0.68335,0.68363,0.5968,0.59809,1.00006,0.90141,0.7391,0.6163,0.67542,0.62679,0.65565,0.65084,0.65241,0.6524,0.59637
1,1,14,0.93279,0.68562,0.67475,0.95162,0.66575,0.69205,0.70346,1.00004,0.66716,0.68458,0.75555,0.9125,0.65767,0.75587,0.68708,0.67312,0.73571,0.73594,0.6344,0.63983,0.96782,0.80287,0.73856,0.65585,0.71871,0.67101,0.70264,0.69748,0.69853,0.69851,0.47634
1,1,15,0.74805,0.69492,0.68949,0.77025,0.6755,0.70292,0.71581,1.00004,0.71455,0.69542,0.58179,0.73458,0.70876,0.62562,0.69499,0.68688,0.75364,0.75383,0.6448,0.65026,0.80662,0.62902,0.66383,0.66693,0.7309,0.68078,0.71373,0.70848,0.70744,0.70768,0.42279
1,1,16,0.41202,0.39728,0.10364,0.4255,0.40275,0.42037,0.42441,0.89953,0.09978,0.39832,0.30973,0.37958,0.47814,0.36774,0.39511,0.4,0.41536,0.41557,0.3792,0.38939,0.39494,0.36742,0.3911,0.38085,0.41744,0.40597,0.42689,0.42341,0.42027,0.42052,0.35054
1,1,17,0,0,0,0,0,0,0,0.24845,0.00481,0,0,0,0.03471,0.02459,0,0,0.00363,0.00363,0,0,0,0.01408,0.01855,0,0,0,0,0,0,0,0.02601
1,1,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,2,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,2,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,2,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,2,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
