Month,Day,Period,ACE Searchlight Solar,Arrow Canyon Solar,Battle Mountain Solar,Boulder Solar I,Boulder Solar II,Boulder Solar III,Copper Mountain Solar 5,Crescent Dunes Solar Thermal,Dodge Flat Solar,Dry Lake Solar,Eagle Shadow Mountain Solar Farm,FRV Spectrum Solar,Fish Springs Ranch Solar,Ft. Churchill Solar,Gemini Solar,Mountain View Solar,NV Generic Solar,NV Generic Solar Hybrid,Nellis Solar Array II,Nevada Solar One,RV Apex Solar,Silver State Solar,Stillwater 2 Solar,Switch Station 1 (Playa Solar 1),Switch Station 2 (Playa Solar 2),Techren Solar 2,Techren Solar I,Techren Solar III,Techren Solar IV,Techren Solar V,Turquoise Nevada
1,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,1,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,1,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,1,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,1,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,1,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,1,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,1,8,0.21054,0.19838,0.00821,0.21688,0.0955,0.10989,0.22039,0.09139,0.0,0.19838,0.16073,0.18458,0.0,0.00471,0.20052,0.195,0.16168,0.1618,0.184,0.19809,0.16802,0.17033,0.00764,0.18924,0.20742,0.09614,0.11154,0.11057,0.09852,0.09851,0.00425
1,1,9,0.65881,0.63785,0.14386,0.67075,0.6445,0.66961,0.68366,0.53357,0.09133,0.64368,0.47463,0.63,0.04745,0.07323,0.64619,0.62813,0.60352,0.60377,0.5992,0.61896,0.55986,0.51358,0.39219,0.6163,0.67542,0.64978,0.67994,0.67495,0.6739,0.67388,0.05406
1,1,10,0.86517,0.6905,0.58742,0.88088,0.6775,0.70495,0.71861,0.58704,0.6528,0.68961,0.68237,0.8475,0.23517,0.2809,0.691,0.29625,0.70351,0.70368,0.6424,0.65235,0.33046,0.71489,0.63492,0.66139,0.72487,0.68298,0.71571,0.71058,0.7111,0.71109,0.21216
1,1,11,0.98996,0.41841,0.5333,1.0,0.62725,0.65285,0.66439,0.61133,0.60918,0.41158,0.79597,0.96333,0.42562,0.44306,0.48136,0.62062,0.59164,0.59176,0.592,0.604,0.93062,0.84182,0.76965,0.39446,0.43238,0.63233,0.66291,0.65765,0.6587,0.65868,0.36737
1,1,12,0.99972,0.59183,0.48257,1.0,0.588,0.61182,0.62288,0.64205,0.39761,0.5915,0.83674,1.0,0.37427,0.80557,0.59171,0.57812,0.60964,0.60971,0.5528,0.56522,0.99944,0.89156,0.60819,0.56804,0.62267,0.5927,0.6212,0.61678,0.61678,0.61703,0.41599
1,1,13,0.99972,0.60658,0.51265,1.0,0.6,0.6239,0.63513,0.77981,0.38753,0.60485,0.80797,0.98,0.403,0.80504,0.60563,0.5925,0.62715,0.62719,0.5656,0.57757,0.99634,0.8688,0.50455,0.58133,0.63719,0.60486,0.63347,0.62883,0.62883,0.62882,0.69684
1,1,14,0.92164,0.65592,0.58573,0.933,0.6465,0.67316,0.68424,0.98506,0.39377,0.65546,0.7175,0.885,0.57798,0.74541,0.65697,0.64188,0.68863,0.68863,0.5904,0.62209,0.92628,0.77847,0.72492,0.63054,0.69103,0.65167,0.6835,0.67861,0.67757,0.67781,0.63904
1,1,15,0.74456,0.66697,0.60699,0.76112,0.661,0.68789,0.70055,0.96529,0.65182,0.66777,0.55375,0.7125,0.6474,0.62196,0.66801,0.6575,0.72461,0.72459,0.6288,0.63652,0.77438,0.61142,0.62237,0.64256,0.70432,0.66616,0.69842,0.69329,0.69381,0.69353,0.51731
1,1,16,0.41062,0.37778,0.32204,0.42312,0.39125,0.40828,0.41739,0.81658,0.41347,0.37978,0.29059,0.36333,0.43966,0.351,0.37666,0.38062,0.42627,0.42636,0.368,0.37809,0.37572,0.36108,0.37419,0.3644,0.39936,0.39425,0.41448,0.41136,0.40926,0.40925,0.32878
1,1,17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.26717,0.02243,0.0,0.0,0.0,0.03458,0.02563,0.0,0.0,0.0048,0.0048,0.0,0.0,0.0,0.01384,0.01964,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02584
