name,requirement,timeframe,eligible_region,direction,contributing_devices,eligible_device_categories,eligible_device_subcategories
Nevada Power Non-Spin,1.0,10.0,,UP,"(Hoover Dam (NV), LV Gen 3_A, LV Gen 2_A, Clark 16, Chuck Lenzi 1_A, Sun Peak 5, Walt Higgings CC_B, Silverhawk 3, Silverhawk CC_B, Tracy 8, 9, 10_B, Silverhawk CC_A, Clark 15, Clark Mt. 3, Clark 20, Harry Allen CC_B, Silverhawk 4, Clark 21, Chuck Lenzi 2_B, Harry Allen 3, Chuck Lenzi 2_A, Clark 14, Clark 4, Clark 18, Clark 22, Clark 5, 6, 10_A, Harry Allen 4, Harry Allen CC_A, Tracy 4&5 CC, Clark 7, 8, 9_A, Sun Peak 4, LV Gen 1, Clark 5, 6, 10_B, LV Gen 3_B, Chuck Lenzi 1_B, LV Gen 2_B, Clark 7, 8, 9_B, Walt Higgings CC_A, Clark 12, Clark Mt. 4, Clark 11, Clark 19, Clark 13, Sun Peak 3, Tracy 8, 9, 10_A, Clark 17)","(Generator,Storage)",NA
Sierra Spin,1.0,10.0,,UP,"(Valmy CT 3, Tracy 8, 9, 10_B, Clark Mt. 3, Tracy 4&5 CC, Valmy CT 4, Clark Mt. 4, Tracy 8, 9, 10_A, _NVE IRP Expansion_SPPC_BESS (Standalone))","(Generator,Storage)",NA
Nevada Power Regulation,61.5,10.0,,UP,"(Hoover Dam (NV), LV Gen 3_A, LV Gen 2_A, Clark 16, Chuck Lenzi 1_A, Sun Peak 5, Walt Higgings CC_B, Silverhawk 3, Silverhawk CC_B, Silverhawk CC_A, Clark 15, Clark 20, Harry Allen CC_B, Silverhawk 4, Clark 21, Chuck Lenzi 2_B, Harry Allen 3, Chuck Lenzi 2_A, Clark 14, Clark 4, Clark 18, Clark 22, Clark 5, 6, 10_A, Harry Allen 4, Harry Allen CC_A, Clark 7, 8, 9_A, Sun Peak 4, LV Gen 1, Clark 5, 6, 10_B, LV Gen 3_B, Chuck Lenzi 1_B, LV Gen 2_B, Clark 7, 8, 9_B, Walt Higgings CC_A, Clark 12, Clark 11, Clark 19, Clark 13, Sun Peak 3, Clark 17)","(Generator,Storage)",NA
Nevada Power Spin,1.0,10.0,,UP,"(Hoover Dam (NV), LV Gen 3_A, LV Gen 2_A, Clark 16, Chuck Lenzi 1_A, Sun Peak 5, Walt Higgings CC_B, Silverhawk 3, Silverhawk CC_B, Silverhawk CC_A, Clark 15, Clark 20, Harry Allen CC_B, Silverhawk 4, Clark 21, Chuck Lenzi 2_B, Harry Allen 3, Chuck Lenzi 2_A, Clark 14, Clark 4, Clark 18, Clark 22, Clark 5, 6, 10_A, Harry Allen 4, Harry Allen CC_A, Clark 7, 8, 9_A, Sun Peak 4, LV Gen 1, Clark 5, 6, 10_B, LV Gen 3_B, Chuck Lenzi 1_B, LV Gen 2_B, Clark 7, 8, 9_B, Walt Higgings CC_A, Clark 12, Clark 11, Clark 19, Clark 13, Sun Peak 3, Clark 17)","(Generator,Storage)",NA
Sierra Non-Spin,1.0,10.0,,UP,"(Valmy CT 3, Tracy 8, 9, 10_B, Clark Mt. 3, Tracy 4&5 CC, Valmy CT 4, Clark Mt. 4, Tracy 8, 9, 10_A, _NVE IRP Expansion_SPPC_BESS (Standalone))","(Generator,Storage)",NA
Sierra Regulation,19.5,10.0,,UP,"(Valmy CT 3, Tracy 8, 9, 10_B, Clark Mt. 3, Tracy 4&5 CC, Valmy CT 4, Clark Mt. 4, Tracy 8, 9, 10_A, _NVE IRP Expansion_SPPC_BESS (Standalone))","(Generator,Storage)",NA
