pras_ts,psy_no_scaling,psy_scaling
639,0.00273,2.59896
602,0.00178,1.6945599999999998
538,0.00064,0.60928
527,0.0,0.0
546,0.0,0.0
573,0.0,0.0
596,0.0,0.0
581,0.0,0.0
632,0.00106,1.00912
578,0.01671,15.907919999999999
433,0.00192,1.8278400000000001
357,0.04768,45.39136
176,0.26885,255.94519999999997
58,0.22324,212.52447999999998
38,0.22988,218.84576
49,0.21136,201.21472
39,0.22829,217.33208
31,0.421,400.792
45,0.64649,615.45848
113,0.76208,725.5001599999999
141,0.68847,655.42344
168,0.43881,417.74712
135,0.20644,196.53088000000002
99,0.14489,137.93527999999998
99,0.11472,109.21344
63,0.07385,70.3052
58,0.02905,27.6556
123,0.00854,8.130080000000001
152,0.0,0.0
368,0.0,0.0
484,0.0,0.0
490,0.00197,1.87544
362,0.00608,5.78816
292,0.01148,10.92896
368,0.03382,32.19664
359,0.05971,56.84392
289,0.07536,71.74271999999999
243,0.08944,85.14688000000001
210,0.08675,82.586
203,0.04786,45.56272
195,0.03603,34.30056
243,0.02328,22.16256
211,0.01632,15.536640000000002
193,0.04481,42.65912
118,0.13441,127.95832
64,0.15055,143.3236
39,0.49307,469.40264
21,0.5594,532.5488
10,0.52724,501.93248000000006
3,0.52641,501.14232000000004
0,0.47965,456.6268
0,0.51736,492.52672000000007
0,0.59889,570.14328
3,0.50984,485.36767999999995
29,0.43031,409.65512
69,0.41415,394.2708
43,0.25291,240.77032000000003
92,0.101,96.152
112,0.12121,115.39192
172,0.09231,87.87912
146,0.01682,16.01264
157,0.00211,2.00872
189,0.0,0.0
196,0.0,0.0
200,0.00096,0.9139200000000001
181,0.03856,36.70912
208,0.06893,65.62136000000001
250,0.15809,150.50168000000002
299,0.2247,213.9144
155,0.25814,245.74927999999997
67,0.38989,371.17528
60,0.43254,411.77808
54,0.51187,487.30024000000003
60,0.58918,560.89936
63,0.61726,587.63152
41,0.63659,606.03368
44,0.66108,629.34816
68,0.64965,618.4667999999999
60,0.68817,655.13784
80,0.7211,686.4871999999999
150,0.7019,668.2088
159,0.71777,683.31704
126,0.7447,708.9544000000001
168,0.6649,632.9848000000001
197,0.68277,649.99704
181,0.70916,675.12032
161,0.68968,656.5753599999999
213,0.66217,630.38584
236,0.65438,622.96976
302,0.66584,633.87968
371,0.63162,601.30224
356,0.64178,610.97456
342,0.64442,613.48784
249,0.64518,614.21136
115,0.64726,616.19152
184,0.65619,624.6928800000001
359,0.65903,627.39656
343,0.68509,652.20568
430,0.7038,670.0176
512,0.68061,647.94072
509,0.63943,608.7373600000001
447,0.65177,620.4850399999999
647,0.72187,687.22024
666,0.75099,714.94248
668,0.70078,667.14256
677,0.59768,568.99136
688,0.52746,502.14192
300,0.60294,573.99888
72,0.57801,550.26552
62,0.57955,551.7316
19,0.44373,422.43096
3,0.3736,355.6672
22,0.35254,335.61808
86,0.2975,283.21999999999997
164,0.32971,313.88392
167,0.32089,305.48728
209,0.329,313.208
131,0.32621,310.55192
76,0.25867,246.25384
47,0.23471,223.44392
32,0.2341,222.8632
20,0.25239,240.27528
11,0.22935,218.3412
7,0.18175,173.02599999999998
4,0.20048,190.85696
9,0.32898,313.18896
17,0.37084,353.03968
40,0.33694,320.76688
9,0.20725,197.302
0,0.18207,173.33064000000002
2,0.18425,175.406
1,0.25343,241.26536
2,0.24902,237.06704
3,0.30099,286.54247999999995
11,0.29535,281.1732
16,0.25817,245.77784
19,0.21318,202.94736
26,0.21573,205.37496000000002
31,0.24112,229.54624
35,0.28119,267.69288
41,0.27862,265.24624
33,0.14265,135.8028
27,0.05946,56.60592
23,0.04452,42.383039999999994
28,0.03465,32.9868
29,0.03844,36.59488
31,0.06073,57.81496
39,0.06887,65.56424
51,0.11242,107.02384
109,0.14801,140.90552
172,0.16774,159.68848
115,0.19043,181.28936
82,0.19394,184.63088
67,0.19345,184.1644
71,0.19889,189.34328000000002
65,0.19493,185.57335999999998
65,0.19784,188.34367999999998
55,0.18544,176.53888
50,0.19106,181.88912000000002
38,0.19005,180.92759999999998
26,0.19506,185.69712
25,0.21618,205.80336
22,0.23511,223.82472
22,0.29775,283.458
19,0.25875,246.32999999999998
9,0.10467,99.64583999999999
5,0.08654,82.38608
4,0.05755,54.7876
3,0.04891,46.56232
2,0.05149,49.018480000000004
1,0.06144,58.490880000000004
1,0.06907,65.75464000000001
2,0.10929,104.04408
10,0.13858,131.92816000000002
1,0.13895,132.2804
0,0.14041,133.67032
0,0.13768,131.07136
14,0.11234,106.94767999999999
26,0.09939,94.61928
49,0.07999,76.15048
109,0.09503,90.46856
136,0.09746,92.78192
109,0.08322,79.22544
79,0.06823,64.95496
106,0.08168,77.75936
144,0.10787,102.69224
177,0.08478,80.71056
235,0.0608,57.8816
185,0.07545,71.8284
483,0.05209,49.589679999999994
451,0.01398,13.308959999999999
313,0.00787,7.492240000000001
157,0.00531,5.05512
291,0.03192,30.387839999999997
481,0.04624,44.020480000000006
554,0.07022,66.84944
519,0.03564,33.92928
427,0.025,23.8
386,0.02229,21.22008
230,0.12026,114.48752
11,0.23127,220.16904
156,0.22092,210.31584
153,0.16462,156.71823999999998
248,0.15625,148.75
522,0.07856,74.78912000000001
563,0.08236,78.40672
700,0.25065,238.6188
745,0.21952,208.98304
794,0.35306,336.11312
794,0.57589,548.24728
794,0.60951,580.25352
794,0.53333,507.73015999999996
794,0.41587,395.90824000000003
794,0.45948,437.42496
794,0.48149,458.37847999999997
794,0.67219,639.9248799999999
792,0.68198,649.24496
745,0.65439,622.97928
782,0.52859,503.21768000000003
792,0.40751,387.94952
723,0.31011,295.22472
668,0.36894,351.23088
658,0.40361,384.23672000000005
664,0.40305,383.7036
598,0.46978,447.23055999999997
517,0.47207,449.41064
422,0.32944,313.62688
557,0.20293,193.18936
654,0.23179,220.66407999999998
776,0.16254,154.73808
711,0.20368,193.90336
709,0.18663,177.67175999999998
710,0.18987,180.75624000000002
725,0.12346,117.53392
785,0.19825,188.734
794,0.1969,187.4488
794,0.2067,196.7784
794,0.15064,143.40928
689,0.08568,81.56736000000001
712,0.08587,81.74824
729,0.1216,115.7632
705,0.25055,238.5236
699,0.40446,385.04591999999997
701,0.4991,475.1432
685,0.47132,448.69664
670,0.36167,344.30984
581,0.37774,359.60848000000004
582,0.39828,379.16256000000004
602,0.41905,398.93559999999997
569,0.40672,387.19744000000003
525,0.32661,310.93272
373,0.13313,126.73976
106,0.13704,130.46208
80,0.1428,135.9456
81,0.12483,118.83816
72,0.11168,106.31936
141,0.0497,47.3144
121,0.0325,30.94
50,0.05441,51.79832
85,0.0827,78.7304
119,0.07948,75.66496
49,0.01745,16.6124
16,0.00827,7.87304
71,0.00095,0.9044
100,0.0026,2.4752
104,0.00584,5.559679999999999
119,0.00709,6.74968
160,0.0,0.0
215,0.05209,49.589679999999994
309,0.07533,71.71415999999999
215,0.08865,84.3948
124,0.19025,181.118
74,0.29324,279.16448
84,0.4033,383.9416
130,0.44655,425.11560000000003
335,0.29187,277.86024000000003
454,0.30797,293.18744000000004
509,0.23436,223.11072000000001
455,0.35294,335.99888
313,0.47284,450.14367999999996
372,0.51557,490.82264
480,0.58301,555.02552
505,0.5545,527.884
559,0.47923,456.22695999999996
610,0.43691,415.93832000000003
614,0.33613,319.99575999999996
697,0.23052,219.45504
669,0.13853,131.88055999999997
694,0.19963,190.04776
676,0.23063,219.55976
710,0.13674,130.17648
713,0.24191,230.29832
693,0.09312,88.65024
695,0.13052,124.25504
607,0.43842,417.37584
626,0.41609,396.11768
655,0.54428,518.15456
611,0.59089,562.52728
555,0.69486,661.5067200000001
589,0.74915,713.1908
594,0.79647,758.2394400000001
497,0.79528,757.10656
501,0.81746,778.22192
658,0.8049,766.2647999999999
735,0.79852,760.19104
756,0.75786,721.48272
732,0.75543,719.1693600000001
781,0.69484,661.4876800000001
773,0.65714,625.59728
781,0.66745,635.4123999999999
738,0.65468,623.25536
705,0.6147,585.1944
722,0.57325,545.734
719,0.46671,444.30792
708,0.37839,360.22728
688,0.27499,261.79048
691,0.22594,215.09488
731,0.23482,223.54864
787,0.22335,212.6292
784,0.1642,156.31840000000003
763,0.12876,122.57952000000002
735,0.08199,78.05448
754,0.00758,7.21616
721,0.00876,8.33952
699,0.02975,28.322
711,0.06719,63.96488
707,0.02667,25.38984
705,0.02477,23.58104
713,0.02289,21.79128
673,0.01061,10.100719999999999
659,0.00851,8.10152
658,0.01272,12.109440000000001
675,0.01954,18.602079999999997
705,0.02709,25.78968
791,0.04325,41.174
740,0.03621,34.47192
714,0.03591,34.186319999999995
680,0.02619,24.93288
737,0.01198,11.404959999999999
788,0.01238,11.78576
784,0.01832,17.44064
697,0.01897,18.059440000000002
480,0.02183,20.782159999999998
291,0.02223,21.162959999999998
121,0.02404,22.88608
128,0.00508,4.8361600000000005
86,0.00518,4.93136
202,0.00979,9.32008
340,0.0498,47.4096
279,0.07408,70.52416
288,0.09767,92.98184
323,0.09146,87.06992
330,0.04816,45.84832
394,0.01955,18.611600000000003
279,0.01225,11.662
457,0.01093,10.40536
278,0.00872,8.30144
299,0.02059,19.60168
224,0.05122,48.76144
325,0.06168,58.71936
557,0.03805,36.2236
665,0.0294,27.988799999999998
671,0.0572,54.4544
794,0.06929,65.96408000000001
775,0.14818,141.06736
727,0.22164,211.00128
732,0.3802,361.9504
753,0.41928,399.15456
709,0.41673,396.72695999999996
660,0.41242,392.62384000000003
682,0.40999,390.31048000000004
684,0.28196,268.42591999999996
671,0.29622,282.00144
687,0.42065,400.4588
687,0.40656,387.04512
684,0.33405,318.0156
607,0.33467,318.60584
518,0.31692,301.70784
520,0.33524,319.14848
311,0.45896,436.92992
204,0.51684,492.03168
137,0.5555,528.836
60,0.5705,543.116
251,0.58887,560.60424
217,0.59881,570.0671199999999
238,0.68194,649.20688
456,0.74995,713.9524
280,0.70875,674.73
582,0.79061,752.6607200000001
699,0.7859,748.1768000000001
785,0.78904,751.16608
751,0.81945,780.1164
761,0.81119,772.25288
