membership_id,parent_object_id,parent_object_name,parent_class_name,child_class_name,category,object_id,name,property_name,property_unit,property_value,band,date_to,date_from,memo,scenario_category,scenario,action,data_file_tag,data_file,variable_tag,timeslice_tag,timeslice,variable_name,variable
1,1,System,System,Generator,UPV - Hybrid,2,_NVE IRP Expansion_NVP_PV (Hybrid),Units,-,1.0,1,,,,Resource Portfolios,2024 IRP Generic Resources,,2024 IRP Generic Expansion # Units,datafiles\2024 IRP Generic Expansion\2024 IRP Generic Expansion (Balanced).csv,,,,,
1,1,System,System,Generator,UPV - Hybrid,2,_NVE IRP Expansion_NVP_PV (Hybrid),Rating Factor,%,100.0,1,,,,Renewable Profiles,Shapes - NREL Weather Profile,×,,,NV Generic Solar Hybrid,,,UPV - 1998,Shapes\UPV\Y1998.csv
6,1,System,System,Generator,UPV - Standalone,7,_NVE IRP Expansion_NVP_PV (Standalone),Units,-,1.0,1,,,,Resource Portfolios,2024 IRP Generic Resources,,2024 IRP Generic Expansion # Units,datafiles\2024 IRP Generic Expansion\2024 IRP Generic Expansion (Balanced).csv,,,,,
6,1,System,System,Generator,UPV - Standalone,7,_NVE IRP Expansion_NVP_PV (Standalone),Rating Factor,%,100.0,1,,,,Renewable Profiles,Shapes - NREL Weather Profile,×,,,NV Generic Solar,,,UPV - 1998,Shapes\UPV\Y1998.csv
22,1,System,System,Generator,LBW,23,_NVE IRP Expansion_NVP_Wind,Units,-,1.0,1,,,,Resource Portfolios,2024 IRP Generic Resources,,2024 IRP Generic Expansion # Units,datafiles\2024 IRP Generic Expansion\2024 IRP Generic Expansion (Balanced).csv,,,,,
22,1,System,System,Generator,LBW,23,_NVE IRP Expansion_NVP_Wind,Rating Factor,%,100.0,1,,,,Renewable Profiles,Shapes - NREL Weather Profile,×,,,Wind_NV-AZ,,,Wind - 2014,Shapes\Wind\Y2014.csv
26,1,System,System,Generator,UPV - Hybrid,27,_NVE IRP Expansion_SPPC_PV (Hybrid),Units,-,1.0,1,,,,Resource Portfolios,2024 IRP Generic Resources,,2024 IRP Generic Expansion # Units,datafiles\2024 IRP Generic Expansion\2024 IRP Generic Expansion (Balanced).csv,,,,,
26,1,System,System,Generator,UPV - Hybrid,27,_NVE IRP Expansion_SPPC_PV (Hybrid),Rating Factor,%,100.0,1,,,,Renewable Profiles,Shapes - NREL Weather Profile,×,,,NV Generic Solar Hybrid,,,UPV - 1998,Shapes\UPV\Y1998.csv
27,1,System,System,Generator,UPV - Standalone,28,_NVE IRP Expansion_SPPC_PV (Standalone),Units,-,1.0,1,,,,Resource Portfolios,2024 IRP Generic Resources,,2024 IRP Generic Expansion # Units,datafiles\2024 IRP Generic Expansion\2024 IRP Generic Expansion (Balanced).csv,,,,,
27,1,System,System,Generator,UPV - Standalone,28,_NVE IRP Expansion_SPPC_PV (Standalone),Rating Factor,%,100.0,1,,,,Renewable Profiles,Shapes - NREL Weather Profile,×,,,NV Generic Solar,,,UPV - 1998,Shapes\UPV\Y1998.csv
35,1,System,System,Generator,LBW,36,_NVE IRP Expansion_SPPC_Wind,Units,-,1.0,1,,,,Resource Portfolios,2024 IRP Generic Resources,,2024 IRP Generic Expansion # Units,datafiles\2024 IRP Generic Expansion\2024 IRP Generic Expansion (Balanced).csv,,,,,
35,1,System,System,Generator,LBW,36,_NVE IRP Expansion_SPPC_Wind,Rating Factor,%,100.0,1,,,,Renewable Profiles,Shapes - NREL Weather Profile,×,,,Wind_NV-AZ,,,Wind - 2014,Shapes\Wind\Y2014.csv
37,1,System,System,Generator,Expansion Candidates,38,_LT_Expansion_CC Gas,Min Stable Level,MW,100.0,1,,,Volume 28: ECON-10,Generator Properties,Thermal Gen Min Stable Level,,,,,,,,
37,1,System,System,Generator,Expansion Candidates,38,_LT_Expansion_CC Gas,Heat Rate Base,MMBtu/h,512.0,1,,,Volume 28: ECON-10,Generator Properties,Detailed Heat Rates,,,,,,,,
37,1,System,System,Generator,Expansion Candidates,38,_LT_Expansion_CC Gas,Heat Rate Incr,Btu/kWh,3525.0,1,,,Volume 28: ECON-10,Generator Properties,Detailed Heat Rates,,,,,,,,
37,1,System,System,Generator,Expansion Candidates,38,_LT_Expansion_CC Gas,Heat Rate Incr2,Btu/kWh²,0.005,1,,,Volume 28: ECON-10,Generator Properties,Detailed Heat Rates,,,,,,,,
37,1,System,System,Generator,Expansion Candidates,38,_LT_Expansion_CC Gas,VO&M Charge,$/MWh,0.0,1,,,,Generator Properties,Use Generic Properties,=,,,NG CC VO&M Charge,,,Generic Generator Properties,datafiles\Generic Generator Properties\Generic Generator Properties by Type.csv
37,1,System,System,Generator,Expansion Candidates,38,_LT_Expansion_CC Gas,Start Cost,$,770.0,1,,,Based on Max Capacity x start cost ($/MW),Generator Properties,Use Generic Properties,×,,,NG CC Start Cost,,,Generic Generator Properties,datafiles\Generic Generator Properties\Generic Generator Properties by Type.csv
37,1,System,System,Generator,Expansion Candidates,38,_LT_Expansion_CC Gas,Min Up Time,h,0.0,1,,,,Generator Properties,Min Up/Down Time,=,,,NG CC Min Up Time,,,Generic Generator Properties,datafiles\Generic Generator Properties\Generic Generator Properties by Type.csv
37,1,System,System,Generator,Expansion Candidates,38,_LT_Expansion_CC Gas,Min Down Time,h,0.0,1,,,,Generator Properties,Min Up/Down Time,=,,,NG CC Min Down Time,,,Generic Generator Properties,datafiles\Generic Generator Properties\Generic Generator Properties by Type.csv
37,1,System,System,Generator,Expansion Candidates,38,_LT_Expansion_CC Gas,Max Ramp Up,MW/min,770.0,1,,,Based on % of Max Capacity/min,Generator Properties,Ramp Rates,×,,,NG CC Max Ramp Up,,,Generic Generator Properties,datafiles\Generic Generator Properties\Generic Generator Properties by Type.csv
37,1,System,System,Generator,Expansion Candidates,38,_LT_Expansion_CC Gas,Max Ramp Down,MW/min,770.0,1,,,Based on % of Max Capacity/min,Generator Properties,Ramp Rates,×,,,NG CC Max Ramp Down,,,Generic Generator Properties,datafiles\Generic Generator Properties\Generic Generator Properties by Type.csv
37,1,System,System,Generator,Expansion Candidates,38,_LT_Expansion_CC Gas,Maintenance Frequency,-,0.0,2,,,,Generator Properties,Use Generic Properties,=,,,NG CC Maintenance Frequency,,,Generic Generator Properties,datafiles\Generic Generator Properties\Generic Generator Properties by Type.csv
37,1,System,System,Generator,Expansion Candidates,38,_LT_Expansion_CC Gas,Mean Time to Repair,h,24.0,2,,,,Generator Properties,Use Generic Properties,=,,,NG CC Mean Time to Repair,,,Generic Generator Properties,datafiles\Generic Generator Properties\Generic Generator Properties by Type.csv
37,1,System,System,Generator,Expansion Candidates,38,_LT_Expansion_CC Gas,Min Time To Repair,h,0.0,1,,,,Generator Properties,Use Generic Properties,,,,,,,,
37,1,System,System,Generator,Expansion Candidates,38,_LT_Expansion_CC Gas,Repair Time Scale,-,0.0,1,,,,Generator Properties,Use Generic Properties,=,,,NG CC Repair Time Scale,,,Generic Generator Properties,datafiles\Generic Generator Properties\Generic Generator Properties by Type.csv
38,1,System,System,Generator,Expansion Candidates,39,_LT_Expansion_CT Gas,Min Stable Level,MW,80.0,1,,,Volume 28: ECON-10,Generator Properties,Thermal Gen Min Stable Level,,,,,,,,
38,1,System,System,Generator,Expansion Candidates,39,_LT_Expansion_CT Gas,Heat Rate Base,MMBtu/h,479.0,1,,,Volume 28: ECON-10,Generator Properties,Detailed Heat Rates,,,,,,,,
38,1,System,System,Generator,Expansion Candidates,39,_LT_Expansion_CT Gas,Heat Rate Incr,Btu/kWh,10161.0,1,,,Volume 28: ECON-10,Generator Properties,Detailed Heat Rates,,,,,,,,
38,1,System,System,Generator,Expansion Candidates,39,_LT_Expansion_CT Gas,VO&M Charge,$/MWh,0.0,1,,,,Generator Properties,Use Generic Properties,=,,,NG CT VO&M Charge,,,Generic Generator Properties,datafiles\Generic Generator Properties\Generic Generator Properties by Type.csv
38,1,System,System,Generator,Expansion Candidates,39,_LT_Expansion_CT Gas,Start Cost,$,220.0,1,,,Based on Max Capacity x start cost ($/MW),Generator Properties,Use Generic Properties,×,,,NG CT Start Cost,,,Generic Generator Properties,datafiles\Generic Generator Properties\Generic Generator Properties by Type.csv
38,1,System,System,Generator,Expansion Candidates,39,_LT_Expansion_CT Gas,Min Up Time,h,0.0,1,,,,Generator Properties,Min Up/Down Time,=,,,NG CT Min Up Time,,,Generic Generator Properties,datafiles\Generic Generator Properties\Generic Generator Properties by Type.csv
38,1,System,System,Generator,Expansion Candidates,39,_LT_Expansion_CT Gas,Min Down Time,h,0.0,1,,,,Generator Properties,Min Up/Down Time,=,,,NG CT Min Down Time,,,Generic Generator Properties,datafiles\Generic Generator Properties\Generic Generator Properties by Type.csv
38,1,System,System,Generator,Expansion Candidates,39,_LT_Expansion_CT Gas,Max Ramp Up,MW/min,220.0,1,,,Based on % of Max Capacity/min,Generator Properties,Ramp Rates,×,,,NG CT Max Ramp Up,,,Generic Generator Properties,datafiles\Generic Generator Properties\Generic Generator Properties by Type.csv
38,1,System,System,Generator,Expansion Candidates,39,_LT_Expansion_CT Gas,Max Ramp Down,MW/min,220.0,1,,,Based on % of Max Capacity/min,Generator Properties,Ramp Rates,×,,,NG CT Max Ramp Down,,,Generic Generator Properties,datafiles\Generic Generator Properties\Generic Generator Properties by Type.csv
38,1,System,System,Generator,Expansion Candidates,39,_LT_Expansion_CT Gas,Maintenance Frequency,-,0.0,2,,,,Generator Properties,Use Generic Properties,=,,,NG CT Maintenance Frequency,,,Generic Generator Properties,datafiles\Generic Generator Properties\Generic Generator Properties by Type.csv
38,1,System,System,Generator,Expansion Candidates,39,_LT_Expansion_CT Gas,Mean Time to Repair,h,24.0,2,,,,Generator Properties,Use Generic Properties,=,,,NG CT Mean Time to Repair,,,Generic Generator Properties,datafiles\Generic Generator Properties\Generic Generator Properties by Type.csv
38,1,System,System,Generator,Expansion Candidates,39,_LT_Expansion_CT Gas,Min Time To Repair,h,0.0,1,,,,Generator Properties,Use Generic Properties,,,,,,,,
38,1,System,System,Generator,Expansion Candidates,39,_LT_Expansion_CT Gas,Repair Time Scale,-,0.0,1,,,,Generator Properties,Use Generic Properties,=,,,NG CT Repair Time Scale,,,Generic Generator Properties,datafiles\Generic Generator Properties\Generic Generator Properties by Type.csv
39,1,System,System,Generator,Expansion Candidates,40,_LT_Expansion_Geothermal,Min Stable Level,MW,100.0,1,,,,Generator Properties,Thermal Gen Min Stable Level,,,,,,,,
39,1,System,System,Generator,Expansion Candidates,40,_LT_Expansion_Geothermal,VO&M Charge,$/MWh,0.0,1,,,,Generator Properties,Use Generic Properties,=,,,Geothermal VO&M Charge,,,Generic Generator Properties,datafiles\Generic Generator Properties\Generic Generator Properties by Type.csv
39,1,System,System,Generator,Expansion Candidates,40,_LT_Expansion_Geothermal,Start Cost,$,500.0,1,,,,Generator Properties,Use Generic Properties,×,,,Geothermal Start Cost,,,Generic Generator Properties,datafiles\Generic Generator Properties\Generic Generator Properties by Type.csv
39,1,System,System,Generator,Expansion Candidates,40,_LT_Expansion_Geothermal,Rating Factor,%,100.0,1,,,,LT Constraints and Scenarios,Geothermal - Base w. 40% ELCC,,Geothermal E3 12x24,shapes\geothermal\Geothermal E3 12x24.csv,,,,,
39,1,System,System,Generator,Expansion Candidates,40,_LT_Expansion_Geothermal,Min Up Time,h,0.0,1,,,,Generator Properties,Min Up/Down Time,=,,,Geothermal Min Up Time,,,Generic Generator Properties,datafiles\Generic Generator Properties\Generic Generator Properties by Type.csv
39,1,System,System,Generator,Expansion Candidates,40,_LT_Expansion_Geothermal,Min Down Time,h,0.0,1,,,,Generator Properties,Min Up/Down Time,=,,,Geothermal Min Down Time,,,Generic Generator Properties,datafiles\Generic Generator Properties\Generic Generator Properties by Type.csv
39,1,System,System,Generator,Expansion Candidates,40,_LT_Expansion_Geothermal,Max Ramp Up,MW/min,500.0,1,,,,Generator Properties,Ramp Rates,×,,,Geothermal Max Ramp Up,,,Generic Generator Properties,datafiles\Generic Generator Properties\Generic Generator Properties by Type.csv
39,1,System,System,Generator,Expansion Candidates,40,_LT_Expansion_Geothermal,Max Ramp Down,MW/min,500.0,1,,,,Generator Properties,Ramp Rates,×,,,Geothermal Max Ramp Down,,,Generic Generator Properties,datafiles\Generic Generator Properties\Generic Generator Properties by Type.csv
39,1,System,System,Generator,Expansion Candidates,40,_LT_Expansion_Geothermal,Forced Outage Rate,%,0.0,1,,,,Generator Properties,Use Generic Properties,=,,,Geothermal Forced Outage Rate,,,Generic Generator Properties,datafiles\Generic Generator Properties\Generic Generator Properties by Type.csv
39,1,System,System,Generator,Expansion Candidates,40,_LT_Expansion_Geothermal,Maintenance Frequency,-,0.0,2,,,,Generator Properties,Use Generic Properties,=,,,Geothermal Maintenance Frequency,,,Generic Generator Properties,datafiles\Generic Generator Properties\Generic Generator Properties by Type.csv
39,1,System,System,Generator,Expansion Candidates,40,_LT_Expansion_Geothermal,Mean Time to Repair,h,24.0,2,,,,Generator Properties,Use Generic Properties,=,,,Geothermal Mean Time to Repair,,,Generic Generator Properties,datafiles\Generic Generator Properties\Generic Generator Properties by Type.csv
39,1,System,System,Generator,Expansion Candidates,40,_LT_Expansion_Geothermal,Min Time To Repair,h,0.0,1,,,,Generator Properties,Use Generic Properties,,,,,,,,
39,1,System,System,Generator,Expansion Candidates,40,_LT_Expansion_Geothermal,Repair Time Scale,-,0.0,1,,,,Generator Properties,Use Generic Properties,=,,,Geothermal Repair Time Scale,,,Generic Generator Properties,datafiles\Generic Generator Properties\Generic Generator Properties by Type.csv
41,1,System,System,Generator,Expansion Candidates,42,_LT_Expansion_UPV (0 - 500),Rating Factor,%,100.0,1,,,,Renewable Profiles,Shapes - NREL Weather Profile,×,,,NV Generic Solar,,,UPV - 1998,Shapes\UPV\Y1998.csv
41,1,System,System,Generator,Expansion Candidates,42,_LT_Expansion_UPV (0 - 500),Max Units Built in Year,-,0.0,1,,,,Resource Portfolios,2024 IRP Proposed Renewable Adds.,,,,,,,,
42,1,System,System,Generator,Expansion Candidates,43,_LT_Expansion_Wind (0-500),Rating Factor,%,100.0,1,,,,Renewable Profiles,Shapes - NREL Weather Profile,×,,,Wind_NV-AZ,,,Wind - 2014,Shapes\Wind\Y2014.csv
42,1,System,System,Generator,Expansion Candidates,43,_LT_Expansion_Wind (0-500),Max Units Built in Year,-,0.0,1,,,,Resource Portfolios,2024 IRP Placeholder Resources,,,,,,,,
43,1,System,System,Generator,Expansion Candidates,44,_LT_Expansion_Wind (0501-1000),Rating Factor,%,100.0,1,,,,Renewable Profiles,Shapes - NREL Weather Profile,×,,,Wind_NV-AZ,,,Wind - 2014,Shapes\Wind\Y2014.csv
43,1,System,System,Generator,Expansion Candidates,44,_LT_Expansion_Wind (0501-1000),Max Units Built in Year,-,0.0,1,,,,Resource Portfolios,2024 IRP Placeholder Resources,,,,,,,,
44,1,System,System,Generator,Expansion Candidates,45,_LT_Expansion_Wind (1001 - 1500),Rating Factor,%,100.0,1,,,,Renewable Profiles,Shapes - NREL Weather Profile,×,,,Wind_NV-AZ,,,Wind - 2014,Shapes\Wind\Y2014.csv
45,1,System,System,Generator,Expansion Candidates,46,_LT_Expansion_Wind (1501 - 3000),Rating Factor,%,100.0,1,,,,Renewable Profiles,Shapes - NREL Weather Profile,×,,,Wind_NV-AZ,,,Wind - 2014,Shapes\Wind\Y2014.csv
46,1,System,System,Generator,Expansion Candidates,47,_LT_Expansion_Wind (3001 - 5000),Rating Factor,%,100.0,1,,,,Renewable Profiles,Shapes - NREL Weather Profile,×,,,Wind_NV-AZ,,,Wind - 2014,Shapes\Wind\Y2014.csv
47,1,System,System,Generator,UPV - Standalone,48,ACE Searchlight Solar,Units,-,1.0,1,,2034-12-31T00:00:00,,Resource Portfolios,Contracted Renewable Generation,,,,,,,,
47,1,System,System,Generator,UPV - Standalone,48,ACE Searchlight Solar,Rating Factor,%,100.0,1,,,,Renewable Profiles,Shapes - NREL Weather Profile,×,,,ACE Searchlight Solar,,,UPV - 1998,Shapes\UPV\Y1998.csv
48,1,System,System,Generator,Landfill/Biogas,49,Apex Landfill Facility,Units,-,1.0,1,,2032-12-31T00:00:00,,Resource Portfolios,Contracted Renewable Generation,,,,,,,,
48,1,System,System,Generator,Landfill/Biogas,49,Apex Landfill Facility,Min Stable Level,MW,0.0,1,,,,Generator Properties,Thermal Gen Min Stable Level,,Min Stable Level,datafiles\Generator Unit Properties\Min Stable Level.csv,,,,,
48,1,System,System,Generator,Landfill/Biogas,49,Apex Landfill Facility,VO&M Charge,$/MWh,0.0,1,,,,Generator Properties,Use Generic Properties,=,,,Biogas CT VO&M Charge,,,Generic Generator Properties,datafiles\Generic Generator Properties\Generic Generator Properties by Type.csv
48,1,System,System,Generator,Landfill/Biogas,49,Apex Landfill Facility,Start Cost,$,0.0,1,,,,Generator Properties,Use Generic Properties,×,Max Capacity,datafiles\Generator Unit Properties\Max Capacity.csv,Biogas CT Start Cost,,,Generic Generator Properties,datafiles\Generic Generator Properties\Generic Generator Properties by Type.csv
48,1,System,System,Generator,Landfill/Biogas,49,Apex Landfill Facility,Min Up Time,h,0.0,1,,,,Generator Properties,Min Up/Down Time,=,,,Biogas CT Min Up Time,,,Generic Generator Properties,datafiles\Generic Generator Properties\Generic Generator Properties by Type.csv
48,1,System,System,Generator,Landfill/Biogas,49,Apex Landfill Facility,Min Down Time,h,0.0,1,,,,Generator Properties,Min Up/Down Time,=,,,Biogas CT Min Down Time,,,Generic Generator Properties,datafiles\Generic Generator Properties\Generic Generator Properties by Type.csv
48,1,System,System,Generator,Landfill/Biogas,49,Apex Landfill Facility,Max Ramp Up,MW/min,1e30,1,,,,Generator Properties,Ramp Rates,×,Max Capacity,datafiles\Generator Unit Properties\Max Capacity.csv,Biogas CT Max Ramp Up,,,Generic Generator Properties,datafiles\Generic Generator Properties\Generic Generator Properties by Type.csv
48,1,System,System,Generator,Landfill/Biogas,49,Apex Landfill Facility,Max Ramp Down,MW/min,1e30,1,,,,Generator Properties,Ramp Rates,×,Max Capacity,datafiles\Generator Unit Properties\Max Capacity.csv,Biogas CT Max Ramp Down,,,Generic Generator Properties,datafiles\Generic Generator Properties\Generic Generator Properties by Type.csv
48,1,System,System,Generator,Landfill/Biogas,49,Apex Landfill Facility,Forced Outage Rate,%,0.0,1,,,,Generator Properties,Use Generic Properties,=,,,Biogas CT Forced Outage Rate,,,Generic Generator Properties,datafiles\Generic Generator Properties\Generic Generator Properties by Type.csv
48,1,System,System,Generator,Landfill/Biogas,49,Apex Landfill Facility,Maintenance Frequency,-,0.0,2,,,,Generator Properties,Use Generic Properties,=,,,Biogas CT Maintenance Frequency,,,Generic Generator Properties,datafiles\Generic Generator Properties\Generic Generator Properties by Type.csv
48,1,System,System,Generator,Landfill/Biogas,49,Apex Landfill Facility,Mean Time to Repair,h,24.0,2,,,,Generator Properties,Use Generic Properties,=,,,Biogas CT Mean Time to Repair,,,Generic Generator Properties,datafiles\Generic Generator Properties\Generic Generator Properties by Type.csv
48,1,System,System,Generator,Landfill/Biogas,49,Apex Landfill Facility,Min Time To Repair,h,0.0,1,,,,Generator Properties,Use Generic Properties,,,,,,,,
48,1,System,System,Generator,Landfill/Biogas,49,Apex Landfill Facility,Repair Time Scale,-,0.0,1,,,,Generator Properties,Use Generic Properties,=,,,Biogas CT Repair Time Scale,,,Generic Generator Properties,datafiles\Generic Generator Properties\Generic Generator Properties by Type.csv
49,1,System,System,Generator,UPV - Hybrid,50,Arrow Canyon Solar,Units,-,1.0,1,2023-12-08T00:00:00,2048-12-31T00:00:00,,Resource Portfolios,Contracted Renewable Generation,,,,,,,,
49,1,System,System,Generator,UPV - Hybrid,50,Arrow Canyon Solar,Rating Factor,%,100.0,1,,,,Renewable Profiles,Shapes - NREL Weather Profile,×,,,Arrow Canyon Solar,,,UPV - 1998,Shapes\UPV\Y1998.csv
50,1,System,System,Generator,UPV - Hybrid,51,Battle Mountain Solar,Units,-,1.0,1,,2046-12-31T00:00:00,,Resource Portfolios,Contracted Renewable Generation,,,,,,,,
50,1,System,System,Generator,UPV - Hybrid,51,Battle Mountain Solar,Rating Factor,%,100.0,1,,,,Renewable Profiles,Shapes - NREL Weather Profile,×,,,Battle Mountain Solar,,,UPV - 1998,Shapes\UPV\Y1998.csv
51,1,System,System,Generator,Geothermal,52,Beowawe Geothermal Power Plant,Units,-,1.0,1,,2053-12-31T00:00:00,,Resource Portfolios,Contracted Renewable Generation,,,,,,,,
51,1,System,System,Generator,Geothermal,52,Beowawe Geothermal Power Plant,Min Stable Level,MW,0.0,1,,,,Generator Properties,Thermal Gen Min Stable Level,,Min Stable Level - Time Dependent,datafiles\Generator Unit Properties\Min Stable Level - Time Dependent.csv,,,,,
51,1,System,System,Generator,Geothermal,52,Beowawe Geothermal Power Plant,VO&M Charge,$/MWh,0.0,1,,,,Generator Properties,Use Generic Properties,=,,,Geothermal VO&M Charge,,,Generic Generator Properties,datafiles\Generic Generator Properties\Generic Generator Properties by Type.csv
51,1,System,System,Generator,Geothermal,52,Beowawe Geothermal Power Plant,Start Cost,$,0.0,1,,,,Generator Properties,Use Generic Properties,×,Max Capacity - Time Dependent,datafiles\Generator Unit Properties\Max Capacity - Time Dependent.csv,Geothermal Start Cost,,,Generic Generator Properties,datafiles\Generic Generator Properties\Generic Generator Properties by Type.csv
51,1,System,System,Generator,Geothermal,52,Beowawe Geothermal Power Plant,Min Up Time,h,0.0,1,,,,Generator Properties,Min Up/Down Time,=,,,Geothermal Min Up Time,,,Generic Generator Properties,datafiles\Generic Generator Properties\Generic Generator Properties by Type.csv
51,1,System,System,Generator,Geothermal,52,Beowawe Geothermal Power Plant,Min Down Time,h,0.0,1,,,,Generator Properties,Min Up/Down Time,=,,,Geothermal Min Down Time,,,Generic Generator Properties,datafiles\Generic Generator Properties\Generic Generator Properties by Type.csv
51,1,System,System,Generator,Geothermal,52,Beowawe Geothermal Power Plant,Max Ramp Up,MW/min,1e30,1,,,,Generator Properties,Ramp Rates,×,Max Capacity - Time Dependent,datafiles\Generator Unit Properties\Max Capacity - Time Dependent.csv,Geothermal Max Ramp Up,,,Generic Generator Properties,datafiles\Generic Generator Properties\Generic Generator Properties by Type.csv
51,1,System,System,Generator,Geothermal,52,Beowawe Geothermal Power Plant,Max Ramp Down,MW/min,1e30,1,,,,Generator Properties,Ramp Rates,×,Max Capacity - Time Dependent,datafiles\Generator Unit Properties\Max Capacity - Time Dependent.csv,Geothermal Max Ramp Down,,,Generic Generator Properties,datafiles\Generic Generator Properties\Generic Generator Properties by Type.csv
51,1,System,System,Generator,Geothermal,52,Beowawe Geothermal Power Plant,Forced Outage Rate,%,0.0,1,,,,Generator Properties,Use Generic Properties,=,,,Geothermal Forced Outage Rate,,,Generic Generator Properties,datafiles\Generic Generator Properties\Generic Generator Properties by Type.csv
51,1,System,System,Generator,Geothermal,52,Beowawe Geothermal Power Plant,Maintenance Frequency,-,0.0,2,,,,Generator Properties,Use Generic Properties,=,,,Geothermal Maintenance Frequency,,,Generic Generator Properties,datafiles\Generic Generator Properties\Generic Generator Properties by Type.csv
51,1,System,System,Generator,Geothermal,52,Beowawe Geothermal Power Plant,Mean Time to Repair,h,24.0,2,,,,Generator Properties,Use Generic Properties,=,,,Geothermal Mean Time to Repair,,,Generic Generator Properties,datafiles\Generic Generator Properties\Generic Generator Properties by Type.csv
51,1,System,System,Generator,Geothermal,52,Beowawe Geothermal Power Plant,Min Time To Repair,h,0.0,1,,,,Generator Properties,Use Generic Properties,,,,,,,,
51,1,System,System,Generator,Geothermal,52,Beowawe Geothermal Power Plant,Repair Time Scale,-,0.0,1,,,,Generator Properties,Use Generic Properties,=,,,Geothermal Repair Time Scale,,,Generic Generator Properties,datafiles\Generic Generator Properties\Generic Generator Properties by Type.csv
52,1,System,System,Generator,UPV - Standalone,53,Boulder Solar I,Units,-,1.0,1,,2036-12-31T00:00:00,,Resource Portfolios,Contracted Renewable Generation,,,,,,,,
52,1,System,System,Generator,UPV - Standalone,53,Boulder Solar I,Rating Factor,%,100.0,1,,,,Renewable Profiles,Shapes - NREL Weather Profile,×,,,Boulder Solar I,,,UPV - 1998,Shapes\UPV\Y1998.csv
53,1,System,System,Generator,UPV - Standalone,54,Boulder Solar II,Units,-,1.0,1,,2037-12-31T00:00:00,,Resource Portfolios,Contracted Renewable Generation,,,,,,,,
53,1,System,System,Generator,UPV - Standalone,54,Boulder Solar II,Rating Factor,%,100.0,1,,,,Renewable Profiles,Shapes - NREL Weather Profile,×,,,Boulder Solar II,,,UPV - 1998,Shapes\UPV\Y1998.csv
54,1,System,System,Generator,UPV - Hybrid,55,Boulder Solar III,Units,-,1.0,1,2027-06-01T00:00:00,2052-06-01T00:00:00,,Resource Portfolios,2024 IRP Proposed Renewable Adds.,,,,,,,,
54,1,System,System,Generator,UPV - Hybrid,55,Boulder Solar III,Rating Factor,%,100.0,1,,,,Renewable Profiles,Shapes - NREL Weather Profile,×,,,Boulder Solar III,,,UPV - 1998,Shapes\UPV\Y1998.csv
55,1,System,System,Generator,Oil IC,56,Brunswick,Units,-,0.0,1,2029-01-01T00:00:00,,,Resource Portfolios,Planned Owned Thermal Retirements,,,,,,,,
55,1,System,System,Generator,Oil IC,56,Brunswick,Min Stable Level,MW,0.0,1,,,,Generator Properties,Thermal Gen Min Stable Level,,Min Stable Level,datafiles\Generator Unit Properties\Min Stable Level.csv,,,,,
55,1,System,System,Generator,Oil IC,56,Brunswick,VO&M Charge,$/MWh,0.0,1,,,,Generator Properties,Use Generic Properties,=,,,Oil IC VO&M Charge,,,Generic Generator Properties,datafiles\Generic Generator Properties\Generic Generator Properties by Type.csv
55,1,System,System,Generator,Oil IC,56,Brunswick,Start Cost,$,0.0,1,,,Based on Max Capacity x start cost ($/MW),Generator Properties,Use Generic Properties,×,Max Capacity,datafiles\Generator Unit Properties\Max Capacity.csv,Oil IC Start Cost,,,Generic Generator Properties,datafiles\Generic Generator Properties\Generic Generator Properties by Type.csv
55,1,System,System,Generator,Oil IC,56,Brunswick,Min Up Time,h,0.0,1,,,,Generator Properties,Min Up/Down Time,=,,,Oil IC Min Up Time,,,Generic Generator Properties,datafiles\Generic Generator Properties\Generic Generator Properties by Type.csv
55,1,System,System,Generator,Oil IC,56,Brunswick,Min Down Time,h,0.0,1,,,,Generator Properties,Min Up/Down Time,=,,,Oil IC Min Down Time,,,Generic Generator Properties,datafiles\Generic Generator Properties\Generic Generator Properties by Type.csv
55,1,System,System,Generator,Oil IC,56,Brunswick,Max Ramp Up,MW/min,1e30,1,,,Based on % of Max Capacity/min,Generator Properties,Ramp Rates,×,Max Capacity,datafiles\Generator Unit Properties\Max Capacity.csv,Oil IC Max Ramp Up,,,Generic Generator Properties,datafiles\Generic Generator Properties\Generic Generator Properties by Type.csv
55,1,System,System,Generator,Oil IC,56,Brunswick,Max Ramp Down,MW/min,1e30,1,,,Based on % of Max Capacity/min,Generator Properties,Ramp Rates,×,Max Capacity,datafiles\Generator Unit Properties\Max Capacity.csv,Oil IC Max Ramp Down,,,Generic Generator Properties,datafiles\Generic Generator Properties\Generic Generator Properties by Type.csv
55,1,System,System,Generator,Oil IC,56,Brunswick,Forced Outage Rate,%,0.0,1,,,,Generator Properties,Use Generic Properties,=,,,Oil IC Forced Outage Rate,,,Generic Generator Properties,datafiles\Generic Generator Properties\Generic Generator Properties by Type.csv
55,1,System,System,Generator,Oil IC,56,Brunswick,Maintenance Frequency,-,0.0,2,,,,Generator Properties,Use Generic Properties,=,,,Oil IC Maintenance Frequency,,,Generic Generator Properties,datafiles\Generic Generator Properties\Generic Generator Properties by Type.csv
55,1,System,System,Generator,Oil IC,56,Brunswick,Mean Time to Repair,h,24.0,2,,,,Generator Properties,Use Generic Properties,=,,,Oil IC Mean Time to Repair,,,Generic Generator Properties,datafiles\Generic Generator Properties\Generic Generator Properties by Type.csv
