Petroleum,Other,Wind,Biopower,Storage,Geothermal,PV,Natural gas,Curtailment
0.0,6.0,538.9270740000001,15.2,3.379218770000284,219.50975523000002,527.87,3027.003952,4335.635648374001
0.0,6.0,441.213188,15.2,0.0,219.50975523000002,664.85,2945.8039519999998,4416.835648373999
0.0,6.0,369.354966,15.2,0.0,219.50975523000002,637.76,2945.8039519999998,4416.835648373999
0.0,6.0,406.9142539999999,15.2,193.8220387699999,219.50975523000002,144.04,3027.003952,4335.635648374001
0.0,6.0,347.742956,15.2,419.3695751490824,219.50975523000002,0.0,3018.9977136209172,4343.641886753084
0.0,6.0,260.489896,15.2,571.2163967700004,219.50975523000002,0.0,3027.003952,4335.635648374001
0.0,6.0,295.589848,15.2,651.0264447699998,219.50975523000002,0.0,3027.003952,4335.635648374001
0.0,5.999999999999773,234.649458,15.2,0.0,219.50975523000002,883.3138379999999,2883.78694877,4478.852651604
0.0,6.0,122.89793399999999,15.2,0.0,219.50975523000002,2856.5712630000003,1602.8039520000002,5759.835648374002
0.0,5.999999999999773,84.15756000000002,15.2,0.0,219.50975523000002,3282.7016500000004,1564.003952,5798.635648374001
0.0,5.999999999999773,49.3022520000001,15.2,0.0,219.50975523000002,3753.172360000001,1564.003952,5798.635648374001
0.0,6.0,43.166264,15.2,0.0,219.50975523000002,3980.19507,1557.7189107700003,5804.9206896040005
0.0,5.999999999999432,55.38101,15.2,0.0,219.50975523000002,3687.5503100000005,1602.8039520000002,5759.835648374002
0.0,5.999999999999432,70.09529,15.2,0.0,219.50975523000002,2841.428055,1580.7745075107966,5781.865092863205
0.0,5.999999999999773,78.304644,15.2,0.0,219.50975523000002,2094.5559040000003,1602.8039520000002,5759.835648374002
0.0,5.999999999999773,76.384602,15.2,0.0,219.50975523000002,1428.522991,2255.9426517700003,5106.696948604
0.0,6.0,65.18211199999999,15.2,926.3549857700006,219.50975523000002,5.969194999999999,3109.3039519999998,4253.335648374
0.0,5.999999999999773,35.634156,15.2,1260.2621367700006,219.50975523000002,0.0,3109.3039519999998,4253.335648374
0.0,6.0,41.894040000000004,15.2,1242.1122527700009,219.50975523000002,0.0,3109.3039519999998,4253.335648374
0.0,5.999999999999773,49.914004,15.2,1125.5176009982342,219.50975523000002,0.0,3113.268639771766,4249.370960602234
0.0,5.999999999999886,44.91536,15.2,1011.4109327700006,219.50975523000002,0.0,3109.3039519999998,4253.335648374
0.0,6.0,67.58248,15.2,849.5438127700006,219.50975523000002,0.0,3109.3039519999998,4253.335648374
0.0,6.0,120.35184000000001,15.2,81.08445277000057,219.50975523000002,700.0,3139.8039519999998,4222.835648374
0.0,5.999999999999545,142.09552,15.2,0.0,219.50975523000002,700.0,3036.0747247700006,4326.564875604001
0.0,5.999999999999773,132.67072,15.2,0.0,219.50975523000002,665.47,2895.21952477,4467.420075604
0.0,6.0,117.94527399999998,15.2,0.0,219.50975523,667.71,2847.29497077,4515.344629603999
0.0,6.0,130.45257399999997,15.2,0.0,219.50975523,598.74,2848.88767077,4513.751929604
0.0,6.0,165.44347399999998,15.2,0.0,219.50975523000002,500.0,2917.64677077,4444.992829604
0.0,5.999999999999886,160.791062,15.2,161.92216300000104,219.50975523000002,251.5,3120.1070197699987,4242.532580604002
0.0,6.0,131.625958,15.2,563.3503347700002,219.50975523000002,0.0,3139.8039519999998,4222.835648374
0.0,6.0,159.58716599999997,15.2,788.079126770001,219.50975523,0.0,3139.8039519999998,4222.835648374
0.0,5.999999999999773,160.414788,15.2,10.803067770000553,219.50975522999997,872.9984370000001,3109.3039519999998,4253.335648374
0.0,5.999999999999659,148.2355,15.2,0.0,219.50975523000002,1633.0746069999993,2141.7201377700007,5220.919462604
