DateTime,ACE Searchlight Solar,Techren Solar 2,Techren Solar V,Dry Lake East Solar,Southern Purchases (NVP),Switch Station 1 (Playa Solar 1),Boulder Solar I,Dodge Flat Solar,Dry Lake Solar,Switch Station 2 (Playa Solar 2),Battle Mountain Solar,Techren Solar I,Fish Springs Ranch Solar,Mountain View Solar,Spring Valley Wind,Techren Solar IV,Idaho Wind,Eagle Shadow Mountain Solar Farm,Techren Solar III,_NVE IRP Expansion_SPPC_PV (Standalone),Turquoise Nevada,Nellis Solar Array II,Northern Purchases (Sierra),Boulder Solar II,Sierra Solar,FRV Spectrum Solar,RV Apex Solar,Arrow Canyon Solar,Silver State Solar,Ft. Churchill Solar,Libra Solar,Boulder Solar III,Gemini Solar,Copper Mountain Solar 5
2030-01-01T12:00:00.0,16.531375,114.886,29.82949999999999,84.43200000000002,1000.0,40.57,96.6,85.21600000000001,63.324000000000005,35.13209,33.294650000000004,60.03399999999965,43.83600000000001,8.924999999999999,1.2978900000000002,14.92175,54.08312,112.35899999999997,14.8955,407.1312000000001,26.426500000000004,7.692,200.0,28.487500000000068,193.888,27.075,13.776400000000004,70.994,38.94332,9.455745,339.27600000000007,75.61448,243.10079999999994,150.9025
2030-01-01T13:00:00.0,14.750050000000002,114.068,25.034499999999998,120.95200000000001,443.46,58.196000000000005,87.738,27.169999999999987,90.71400000000001,50.39252,11.16353,64.628,34.644999999999996,12.35,9.586170000000001,12.52425,60.50912,126.00599999999999,16.03525,394.99320000000006,22.2615,6.324,0.0,28.287499999999998,188.09199999999998,25.412399999999998,17.843600000000006,56.862,21.765120000000003,11.189684999999999,329.16100000000006,81.40835,192.6756,155.325
2030-01-01T14:00:00.0,12.24895,120.682,29.527999999999995,71.016,0.0,34.08199999999995,71.438,59.918000000000006,53.262,29.5144,16.82357,63.770000000000095,43.251000000000005,6.85,13.901844,14.7645,64.4028,116.77199999999996,15.8255,365.72760000000005,4.0545,1.38,0.0,29.925,174.176,11.4501,7.886400000000002,37.518,25.59596,4.865639999999985,304.7730000000001,80.31608400000005,126.04920000000001,161.0925
2030-01-01T15:00:00.0,4.843475000000001,72.702,18.864499999999996,47.73600000000001,0.0,22.911,28.688000000000002,36.894,35.80200000000001,19.82821,23.14415,38.227,19.123000000000005,6.037599999999999,15.694602000000003,9.432500000000001,60.69,32.77799999999999,9.485000000000001,249.48000000000002,10.217,3.9360000000000004,0.0,18.0375,118.82400000000001,6.7626,5.939600000000001,49.972,11.87108,3.8455949999999817,207.9,48.14028100000001,169.98839999999998,97.1125
2030-01-01T16:00:00.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2749999999999989,1.184,0.0,0.0,0.0,0.0,1.0530000000000002,0.0,19.952592000000003,0.0,45.229519999999994,0.0,0.0,1.1340000000000001,0.4675,0.0,0.0,0.0,0.54,0.0,0.0,0.0,0.20747999999999997,0.16321499999999967,0.9450000000000002,0.0,0.0,0.0
2030-01-01T17:00:00.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.329196000000001,0.0,23.304959999999998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2030-01-01T18:00:00.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.02068,0.0,30.87336,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2030-01-01T19:00:00.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.036724,0.0,44.87728,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2030-01-01T20:00:00.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,44.91536,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2030-01-01T21:00:00.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,67.58248,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2030-01-01T22:00:00.0,0.0,0.0,0.0,0.0,500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,120.35184000000001,0.0,0.0,0.0,0.0,0.0,200.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2030-01-01T23:00:00.0,0.0,0.0,0.0,0.0,500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,142.09552,0.0,0.0,0.0,0.0,0.0,200.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2030-01-02T00:00:00.0,0.0,0.0,0.0,0.0,500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,132.67072,0.0,0.0,0.0,0.0,0.0,165.47,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2030-01-02T01:00:00.0,0.0,0.0,0.0,0.0,500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.865913999999975,0.0,111.07936000000001,0.0,0.0,0.0,0.0,0.0,167.70999999999998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2030-01-02T02:00:00.0,0.0,0.0,0.0,0.0,500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.6648139999999785,0.0,125.78775999999999,0.0,0.0,0.0,0.0,0.0,98.74000000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2030-01-02T03:00:00.0,0.0,0.0,0.0,0.0,500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.346033999999975,0.0,161.09744,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2030-01-02T04:00:00.0,0.0,0.0,0.0,0.0,251.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.402422,0.0,147.38864,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2030-01-02T05:00:00.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.519238,0.0,114.10672,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
