bus_id,name,available,active_power,reactive_power,max_active_power,max_reeactive_power,active_power
3,Sierra,True,0.0,0.0,3071.5,0.0,0.0
1,Nevada Power,True,0.0,0.0,7116.95,0.0,0.0
